nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link,mencion
Sergio Fajardo,@sergio_fajardo,2021-08-18T17:36:06.000Z,feliz cumpleaños querida espero que estés muy celebrada hoy y te deseo muchos años más de periodismo riguroso un abrazo ,,14,17000,214,https://twitter.com/sergio_fajardo/status/1428048068839104519,['@mabellaranews']
Sergio Fajardo,@sergio_fajardo,2021-08-18T16:53:26.000Z,les invito a participar mañana a las p m en este encuentro nacional de voluntarios donde hablaremos del país y de los retos que se nos vienen con la campaña nos vemos compromiso ciudadano ago somos miles y seguimos creciendo mañana jueves de agosto a las p m la red nacional de voluntarios y voluntarias tendrá un encuentro junto a para hablar sobre el país y los retos para multiplicarnos inscríbete y participa ,,21,38000,124,https://twitter.com/sergio_fajardo/status/1428037334986104835,"['@compromisociu', '@sergio_fajardo']"
Sergio Fajardo,@sergio_fajardo,2021-08-17T11:46:14.000Z,de acuerdo con el editorial de “escuchar de manera atenta y responsable es el compromiso ético de la comisión atacarla por cumplir su labor más sin conocer el informe final es un despropósito” la importancia de álvaro uribe ante la comisión de la verdad no puede leerse como un fracaso el encuentro de los comisionados con el expresidente elespectador com,,62,73000,367,https://twitter.com/sergio_fajardo/status/1427597636484440064,['@elespectador']
Sergio Fajardo,@sergio_fajardo,2021-08-17T00:26:44.000Z,propongo reconocer la autoridad moral del padre dejar a un lado los sesgos personales confiar en su criterio y el de la la construcción de la paz necesita sabiduría para explorar caminos ,,1400,506000,1600,https://twitter.com/sergio_fajardo/status/1427426634592817155,"['@franciscoderoux', '@comisionverdadc']"
Sergio Fajardo,@sergio_fajardo,2021-08-16T02:41:53.000Z,uno de los libros más bellos y tristes que leído en mi vidayamit palacio ago pospuse durante años esta lectura y hace poco me sentí valiente para abordarla es de una dolorosa belleza por un instante la poetisa ha convertido al lector en parte de su familia el tapabocas ha quedado empapado de lágrimas ,,27,25000,291,https://twitter.com/sergio_fajardo/status/1427098256304230406,['@yamitpalavilla']
Sergio Fajardo,@sergio_fajardo,2021-08-15T17:29:20.000Z,mi invitación a los jóvenes es a ser protagonistas de la política ya no esperar el estallido social es la manifestación de una legítima inconformidad profunda y exige un rol activo de los jóvenes en la política ,,221,133000,408,https://twitter.com/sergio_fajardo/status/1426959204154286084,[]
Sergio Fajardo,@sergio_fajardo,2021-08-13T21:19:17.000Z,logramos contener la caída buen síntoma hemos aprendido que lo único que está en nuestras manos es seguir trabajando esa siempre será nuestra respuesta ,,94,89000,460,https://twitter.com/sergio_fajardo/status/1426292297759604736,[]
Sergio Fajardo,@sergio_fajardo,2021-08-13T16:05:06.000Z,una política hecha entre el miedo y la rabia jamás podrá unir a un país colombia va a cambiar eso en para transformar la sociedad y construir entre todos por fuera de esos extremos cecandi ,,84,55000,193,https://twitter.com/sergio_fajardo/status/1426213232243613706,['@andi_colombia']
Sergio Fajardo,@sergio_fajardo,2021-08-13T15:13:12.000Z,encuesta invamer contento van años seguidos de ataques llenos de mentiras en mi contra contuvimos la caída la cuesta final es larga y empinada y faltan muchos premios de montaña por superar serenidad disciplina no mirar para los lados y mantener la concentración ,,1100,342000,1500,https://twitter.com/sergio_fajardo/status/1426200169972969472,[]
Sergio Fajardo,@sergio_fajardo,2021-08-13T11:49:21.000Z,felicitaciones a nuestros estudiantes y a sus profesores en la universidad nacional tenemos una gran selección colombia pd necesitamos mujeres en ciencia y matemáticas u nacional gana medallas en olimpiada internacional de matemáticasu nacional gana medallas en olimpiada internacional de matemáticas los estudiantes colombianos se hicieron con tres preseas de plata y siete de bronce eltiempo com,,23,40000,351,https://twitter.com/sergio_fajardo/status/1426148869755256838,[]
Sergio Fajardo,@sergio_fajardo,2021-08-12T22:47:37.000Z,desde el mundo de la educación tenemos que entender la construcción de una nueva generación rural cómo logramos dignificar el mundo rural hoy las más pobres son las mujeres rurales cecandi ,,22,45000,148,https://twitter.com/sergio_fajardo/status/1425952140346933251,['@andi_colombia']
