nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link,mencion
Óscar Iván Zuluaga,@OIZuluaga,2021-08-30T15:54:50.000Z,los colombianos podemos tener diferencias pero debemos estar todos unidos contra el terrorismo condeno el ataque a la estación de policía de atalaya cúcuta a los perpetradores debe caerles todo el peso de la ley policía de colombia and others,,46,89,225,https://twitter.com/OIZuluaga/status/1432371239637721088,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-08-30T13:07:04.000Z,la protesta pacífica hay que respetarla porque los ciudadanos tienen reclamos legítimos pero lo que no podemos permitir es el terrorismo urbano que cuenta con la financiación de bandas criminales y de organizaciones guerrilleras neiva,,26,39,105,https://twitter.com/OIZuluaga/status/1432329022453784576,['@hjdoblekneiva']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-30T12:24:06.000Z,la política es más que retórica se trata principalmente de propuestas claras y acciones concretas y si algo debe unir al país en este momento es la generación de empleo eso no tiene color político neiva,,11,24,83,https://twitter.com/OIZuluaga/status/1432318208816697355,['@hjdoblekneiva']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-30T12:07:05.000Z, arauca debe desarrollar energías alternativas para toda colombia por ejemplo la solar eso genera miles de empleos y ayuda al medio ambiente para lograrlo vamos a invertir en nuestra gente para ser más competitivos y construiremos vías que mejoren los accesos ,,24,29,72,https://twitter.com/OIZuluaga/status/1432313923882061832,['@meridiano70']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-30T12:03:13.000Z,la pandemia nos dejó claro que la prevención en la salud es clave por eso el médico familiar es necesario hay que salir a buscar al paciente también es urgente fortalecer nuestra red de especialistas sobre todo en las regiones arauca,,18,22,52,https://twitter.com/OIZuluaga/status/1432312952477163523,['@meridiano70']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-30T12:00:13.000Z,nuestro objetivo es lograr que nuestras niñas y niños entre y años puedan tener cuidado alimentación y educación ese debe ser propósito de toda colombia no hay un nada más importante que invertir en la primera infancia ahí está el presente y futuro arauca,,51,27,71,https://twitter.com/OIZuluaga/status/1432312198332825605,['@meridiano70']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-30T11:42:59.000Z,soy hijo de la provincia y conozco la urgencia que tiene el país de llevar trabajo a las regiones por eso una de mis propuestas centrales es generar millones de empleos bien remunerados construidos desde lo local y con base en necesidades de municipios arauca,,120,107,304,https://twitter.com/OIZuluaga/status/1432307861602897922,['@meridiano70']
Revista Alternativa,@AlternativaCOL,2021-08-28T19:24:26.000Z,óscar iván propone una gran alianza ‘que salve al país’ óscar iván propone una gran alianza ‘que salve al país’ revista alternativa si se convierte en el candidato del centro democrático participaría en una consulta interpartidista amplia en marzo de para llevar un aspirante único y fuerte a la primera vuelta presidencial revistalternativa com,,61,65,178,https://twitter.com/AlternativaCOL/status/1431699211075137540,['@oizuluaga']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-25T12:32:46.000Z,he construido una vasta experiencia desde lo privado y lo público hoy aspiro a unir a un país en torno a unas ideas que superen las diferencia partidarias cartagena,,70,69,161,https://twitter.com/OIZuluaga/status/1430508450228932608,['@chambacu_tv']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-25T12:30:04.000Z,a los artistas y deportistas hay que apoyarlos en su actividad de vida y también para que sean emprendedores utilizando créditos y brindando asesorías a través del sena cartagena,,6,17,43,https://twitter.com/OIZuluaga/status/1430507771590500354,['@chambacu_tv']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-25T12:23:48.000Z,no hay nada más importante para una mamá que saber que su hijo tiene asegurada alimentación cuidado y formación una de mis prioridades es que cada niño de este país tenga garantizado ese derecho cartagena,,123,87,200,https://twitter.com/OIZuluaga/status/1430506191587790849,['@chambacu_tv']
