nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link,mencion
Gustavo Petro,@petrogustavo,2020-12-26T12:10:06.000Z,si el experto en epidemias en eeuu fauci tiene razón colombia necesita millones de dosis dos por persona para llegar al nivel de inmunización y salir de la pandemia conseguir estas millones de vacunas se vuelve la lucha inmediata de toda la sociedadquote tweet tania valentina díaz dec se requeriría vacunar a casi de población eeuu para lograr inmunidad de rebaño así lo afirma el doctor anthony fauci el experto en enfermedades infecciosas más destacado de estados unidos ,,108,539,1600,https://twitter.com/petrogustavo/status/1342804880201801729,['@taniapsuv']
Gustavo Petro,@petrogustavo,2020-12-24T18:08:40.000Z,les deseamos con toda mi familia una feliz navidad y un con mucha salud y amor ,,1900,2400,29100,https://twitter.com/petrogustavo/status/1342170341599309826,[]
Gustavo Petro,@petrogustavo,2020-12-24T17:56:20.000Z,una feliz navidad a toda la fuerza de la salud de colombia en un gobierno progresista habrá estabilidad laboral toda ips contratará a termino indefinido el personal de salud que cumpla funciones misionales primero la salud que el negocio,,317,1400,6200,https://twitter.com/petrogustavo/status/1342167237797572608,[]
Gustavo Petro,@petrogustavo,2020-12-24T17:53:09.000Z,coincido con el arzobispo de bogotá colombia necesita una reforma rural integral que modernice el uso de la tierra genere democracia producción y paz reforma rural integral no aspersión aérea el mensaje de la iglesia al gobierno – contagio radio monseñor luis josé rueda arzobispo de bogotá y representante de la iglesia católica resaltó la importancia de promover el campo en colombia contagioradio com,,55,713,1900,https://twitter.com/petrogustavo/status/1342166435821481986,[]
Gustavo Petro,@petrogustavo,2020-12-24T16:31:15.000Z,la primera vacunada en america latina es una enfermera ha sucedido en méxico bien por méxico por la mujer por la fuerza blanca de la salud que ha sabido batallar contra la adversidad ojalá muestre el camino de la vida a todos nuestros pueblos quote tweet gael garcía bernal dec me emocioné una puesta en escena del ritual de la vacunación me emociona sí y como el buen cine y teatro lo que no aparece en escena es igual de importante cada vacuna va en nombre de aquellos que han luchado por esto y sobretodo aquellos que han perdido la batalla twitter com claudiashein s… show this thread,,50,282,1100,https://twitter.com/petrogustavo/status/1342145826827751424,['@gaelgarciab']
Gustavo Petro,@petrogustavo,2020-12-24T15:54:57.000Z,no se si la acción de duque contra los diplomaticos rusos buscando alistarse con biden ante un presunto conflicto rusia eeuu no vaya a cerrar las puertas de posibles compras de la vacuna sputnik v esta vacuna no necesita la refrigeración de pfizer y seria más adaptable quote tweet sputnik v dec watch this exclusive video of the first batch of sputnikv vaccine departing for argentina ,,245,633,2000,https://twitter.com/petrogustavo/status/1342136689448398850,['@sputnikvaccine']
Gustavo Petro,@petrogustavo,2020-12-24T15:48:43.000Z,la ministra carmen helena vásquez fue capaz de no autorizar la demolición del hospital san juan de dios de bogotá la felicito por ello veremos que hará felipe buitrago quote tweet el país cali elpaispalante dec carmen helena vásquez será reemplazada por felipe buitrago en el ministerio de cultura ,,25,338,1000,https://twitter.com/petrogustavo/status/1342135122410299392,['@elpaiscali']
Gustavo Petro,@petrogustavo,2020-12-24T15:46:30.000Z,llegaron primeras vacunas pfizer a chile muy bien por ellos con méxico argentina y costa rica inician la vacunación en américa latina quote tweet dw español dec llega la vacuna a chile las primeras dosis de la vacuna contra el coronavirus de pfizer biontech llegaron este jueves a chile que junto a méxico y costa rica iniciará en esta misma jornada la vacunación del personal sanitario ps,,68,353,1400,https://twitter.com/petrogustavo/status/1342134564777549824,['@dw_espanol']
Gustavo Petro,@petrogustavo,2020-12-24T14:18:26.000Z,va un millón de vacunados en eeuu hoy se puso la primera vacuna pfizer en méxico y acaba de llegar vacunas sputnikv a argentina el poder se impone a la humanidad si la fórmula de la vacuna se repartiese a todos los países ya habrían decenas de millones de vacunados,,631,1100,4600,https://twitter.com/petrogustavo/status/1342112402125500417,[]
Gustavo Petro,@petrogustavo,2020-12-23T18:06:42.000Z,muy bueno expresa la gran diferencia entre colombia humana y el uribismo ,,1100,2900,12700,https://twitter.com/petrogustavo/status/1341807458092761088,[]
Gustavo Petro,@petrogustavo,2020-12-23T18:05:35.000Z,la universalización de la educación superior para toda la policía la eliminación de barreras de ascenso para cualquier agente de policía la desmilitarización de la policía y su profesionalización como cuerpo civil son objetivos de nuestro programa para la reforma ,,31,269,951,https://twitter.com/petrogustavo/status/1341807179435823105,[]
Gustavo Petro,@petrogustavo,2020-12-23T18:05:34.000Z,el cambio de la cúpula policial expresa la insostenibilidad del general atehortua sindicado de corrupción y responsable de las masacres contra los jóvenes en las movilizaciones sociales pero no se necesita un simple cambio de generales sino una reforma profunda quote tweet rt en español medios afiliados al gobierno rusia dec el actor estadounidense y activista del movimiento black lives matter kendrick sampson fue atacado en cartagena por dos policías,,66,718,1900,https://twitter.com/petrogustavo/status/1341807175505735685,['@actualidadrt']
Gustavo Petro,@petrogustavo,2020-12-23T17:57:56.000Z,este artículo analiza a profundidad la política antinarcoticos de nuestro país su estruendoso fracaso y la necesidad de una nueva política cimentada mucho más en resolver las problemáticas sociales que en desatar guerras la resaca del plan colombia la guerra contra las drogas promovida por ee uu y las élites colombianas solo ha logrado fortalecer el narcotráfico y la militarización del país acabar con la violencia requiere un profundo ctxt es,,32,487,1100,https://twitter.com/petrogustavo/status/1341805253168132098,[]
Gustavo Petro,@petrogustavo,2020-12-22T20:27:21.000Z,las naciones originarias vuelven al poder en eeuu de la mano de una mujer quote tweet dw español dec una voz indígena en la casa blanca el presidente electo de estados unidos joe biden nominó a deb haaland como secretaria del interior sería la primera nativa estadounidense en ocupar un cargo en el gabinete lm k views,,69,642,2300,https://twitter.com/petrogustavo/status/1341480466973667328,['@dw_espanol']
Gustavo Petro,@petrogustavo,2020-12-22T20:25:23.000Z,es lamentable que un hijo de córdoba se haya dejado entrampar de su contexto de esta manera creyeron en el paramilitarismo en la apropiación despiadada de la tierra pusieron el derecho al servicio del dinero y la premodernidad se olvidaron de lo justo the following media includes potentially sensitive content change settings view,,117,736,2000,https://twitter.com/petrogustavo/status/1341479971290791936,[]
Gustavo Petro,@petrogustavo,2020-12-21T21:40:21.000Z,este mensaje logra que millones de colombianos aplaudan olvidando que hay millones de colombianos en venezuela ecuador eeuu y españa y que para nada nos gustaría que los excluyeran de la vacuna la xenofobia es uno de los pilares del fascismo logra aplausos mientras mata quote tweet agence france presse dec colombia excluirá de vacunación a venezolanos que estén irregulares en su territorio afp ,,627,1500,4400,https://twitter.com/petrogustavo/status/1341136449719197700,['@afpespanol']
Gustavo Petro,@petrogustavo,2020-12-21T21:27:13.000Z,el presidente duque debería ayudar a construir una estrategia común de negociación de las vacunas a escala latinoamericana si no tenemos infraestructura para el congelamiento a °c que necesita la vacuna pfizer hay que adquirir vacunas que ya están listas de otros países quote tweet verónika mendoza dec ya antes los hemos visto lucrar a costa de la salud y la vida de la gente que la incertidumbre y los mensajes contradictorios no nos hagan perder de vista que la vacuna debe ser un bien público de acceso universal y gratuito y no un negocio show this thread,,70,275,578,https://twitter.com/petrogustavo/status/1341133144540508161,['@vero_mendoza_f']
Gustavo Petro,@petrogustavo,2020-12-21T20:46:08.000Z,hubo un simulacro de confinamiento y ahora un simulacro de vacunación quote tweet el país cali elpaispalante dec simulacro de vacunación contra el covid en colombia podría iniciar esta semana duque ,,121,330,1000,https://twitter.com/petrogustavo/status/1341122805287497728,['@elpaiscali']
Gustavo Petro,@petrogustavo,2020-12-21T19:45:00.000Z,ser parte de un proyecto en donde la masacre y el uso del poder para el enriquecimiento merece el aplauso del seudo periodista y donde luchar toda la vida por lo justo merece su insulto sus insultos felipe me dignifican quote tweet felipe zuleta lleras dec ya lo dije y no lo repito más entre votar por don y el señor h senador voto por don tomas ,,301,967,3400,https://twitter.com/petrogustavo/status/1341107420077109254,"['@zuletalleras', '@tomasuribeeco', '@petrogustavo']"
Gustavo Petro,@petrogustavo,2020-12-21T19:18:28.000Z,en el cesar ganó duque el cesar ha sido condenado a la extracción del carbón a la desertización de su tierra y a la eliminación de su agricultura d alimentos hoy la mitad de su población está en pobreza nosotros propusimos el agua el agro de alimentos y su industrializaciónquote tweet el pilón dec la mitad de la población del cesar vive en la pobreza monetaria dane ,,67,453,1000,https://twitter.com/petrogustavo/status/1341100743340797958,['@el_pilon']
Gustavo Petro,@petrogustavo,2020-12-21T19:05:55.000Z, cuál la diferencia entre el hitler antijudío y el duque antivenezolano cuál la diferencia entre matar masivamente y dejar morir masivamente quote tweet valorfuturo dec duque avisa que migrantes venezolanos no podrán acceder a vacuna contra coronavirus en colombia ,,682,1000,2600,https://twitter.com/petrogustavo/status/1341097587475165194,['@valorfuturo']
Gustavo Petro,@petrogustavo,2020-12-21T17:01:51.000Z,bajo una perspectiva de millones de personas sin vacunación en colombia tendría que mantener permantemente durante el aislamiento social tapabocas y cuarentenas la lucha por una vacunación universal para el debe comenzar desde ya ,,39,176,548,https://twitter.com/petrogustavo/status/1341066362517598209,[]
Gustavo Petro,@petrogustavo,2020-12-21T17:01:51.000Z,la base de vacunación de colombia sigue siendo muy deficiente compradas vacunas para millones de personas otras diez millones de personas dependerán de donaciones mundiales y quedan millones de personas sin ninguna opción por ahora para todo el año entrante ,,11,147,467,https://twitter.com/petrogustavo/status/1341066361435516934,[]
Gustavo Petro,@petrogustavo,2020-12-21T17:01:50.000Z,hasta este momento tenemos compradas millones de vacunas para millones de personas es mejor que nada pero las otras millones es a traves del covax que depende de donaciones aún si las tenemos serían millones de personas vacunadas el año entrante no es suficiente quote tweet ricardo henao calderòn dec nos llegarán millones de vacunas y ahora les buscan el pero por todas partes es una gran noticia pero no nos gusta no nos gusta nada que horror ,,90,296,905,https://twitter.com/petrogustavo/status/1341066359871053827,['@richenao']
Gustavo Petro,@petrogustavo,2020-12-19T17:20:40.000Z,la diferencia entre lo que hizo varón cotrino y los uribistas tratando de eliminar políticamente la colombia humana y lo que hicieron con la unión patriótica es una diferencia de litros de sangre detrás la misma concepción antidemocrática exterminar al contradictor ,,193,1500,4600,https://twitter.com/petrogustavo/status/1340346324512858112,[]
Gustavo Petro,@petrogustavo,2020-12-19T17:18:01.000Z,estas denuncias casi anónimas de miles de personas que hoy son amenazadas a lo largo y ancho del país gritándonos desde sus miedos que aquí no hay una democracia y que no hay un país del mundo que necesite más de un cambio real que colombia quote tweet rosalba alarcón peña dec he sido amenazada de muerte esta vez la amenaza la hicieron a través de un familiar ella esta delgada la vamos a matar días antes hice denuncio en la y no he recibido respuesta solicito protección a mi vida ,,42,419,976,https://twitter.com/petrogustavo/status/1340345655399772161,"['@rosa_alcarajo', '@fiscaliacol', '@intlcrimcourt', '@defensoriacol', '@flip_org', '@rsf_esp']"
Gustavo Petro,@petrogustavo,2020-12-19T17:13:23.000Z,duque separó violentamente la familia de nuestra candidata al senado y ex parlamentaria andina gloria florez pasó por encima del derecho de su hijo menor de edad a vivir con sus padres e impuso el ostracismo a su padre quote tweet gloria flórez schneider gana la vida dec hace años un “falso positivo” de desterró a mi esposo y separó mi familia calumnias despliegue mediático y persecución vil continúan para obligarnos al exilio lucho por la justicia ,,43,537,1000,https://twitter.com/petrogustavo/status/1340344492033978370,"['@gloriaflorezsi', '@ivanduque']"
Gustavo Petro,@petrogustavo,2020-12-19T16:23:06.000Z,colombia humana se mantendrá como fuerza política organizada colectiva y democrática en todos los municipios del país sin financiación pública ni acceso a medios de comunicación o a garantías del estatuto de oposición aportaremos millones de votos a la unidad democráticaquote tweet gustavo petro dec la decisión de cambio radical y centro democrático que ganó la mayoría del congreso de excluir a los grupos significativos de ciudadanos entre ellos colombia humana de participar en coaliciones para las elecciones del nos pone ante la siguiente decisión show this thread,,220,999,3100,https://twitter.com/petrogustavo/status/1340331834668924928,['@petrogustavo']
Gustavo Petro,@petrogustavo,2020-12-19T14:13:02.000Z,un trabajo arduo que llevó a que colombia tiene muertos y quizás duplique la cifra uno de los peores resultados del mundo ante el covid y aun hoy la mitad de las vacunas que vacunaran a menos de la mitad de la población dependen de la limosna internacionalquote tweet hassan nassar dec trabajo arduo y constante de la mano de los expertos en salud y epidemiología ha sido la directriz del presidente para enfrentar el covid en colombia las crisis se manejan anticipándose trayendo soluciones con hechos concretos y sin espacios para los fatalistas ,,1400,1200,3100,https://twitter.com/petrogustavo/status/1340299105298464770,"['@hassnassar', '@ivanduque']"
Gustavo Petro,@petrogustavo,2020-12-19T14:04:01.000Z,pasa desapercibida por la prensa y los influencers superficiales que uno de lo temas centrales propuestos por nosotros la audiitoria en tiempo real de software y escrutinios fue eliminado en conciliación del código se abre el paso al megafraude tecnológico en elecciones,,358,2600,6500,https://twitter.com/petrogustavo/status/1340296833990582272,[]
Gustavo Petro,@petrogustavo,2020-12-19T12:46:19.000Z,les propongo sacrificar la existencia legal de colombia humana y construir el pacto histórico para cambiar el congreso la sociedad y la presidencia de la república ,,826,2700,10100,https://twitter.com/petrogustavo/status/1340277280782905345,[]
Gustavo Petro,@petrogustavo,2020-12-19T12:46:19.000Z,si luchar por la personería jurídica de colombia humana en una lista independiente y solitaria o sacrificar nuestra existencia legal por construir el pacto histórico de colombia y cambiar el congreso de la república ,,81,804,3500,https://twitter.com/petrogustavo/status/1340277279767875586,[]
Gustavo Petro,@petrogustavo,2020-12-19T12:46:19.000Z,la decisión de cambio radical y centro democrático que ganó la mayoría del congreso de excluir a los grupos significativos de ciudadanos entre ellos colombia humana de participar en coaliciones para las elecciones del nos pone ante la siguiente decisión ,,379,1500,5200,https://twitter.com/petrogustavo/status/1340277278744457220,[]
Gustavo Petro,@petrogustavo,2020-12-19T11:49:35.000Z,el trabajo del capital es insultarnos los unos a los otros el del progresismo es recuperar la hermandad en un proyecto colectivo excelente artículo sobre lo que significa el moralismo y la critica al comportamiento en vez de la critica social en redesla policía semiótica y la política moralista hoy se señala en las redes a personas y actitudes declaraciones o imágenes y se les culpabiliza como si fuesen la causa de la opresión el moralismo responde a una profunda impotencia analítica así ctxt es,,114,509,1300,https://twitter.com/petrogustavo/status/1340263002512211970,[]
Gustavo Petro,@petrogustavo,2020-12-19T03:11:04.000Z,nueva masacre cometida por la policía contra jóvenes en bogotáquote tweet diego cancino concejal de bogotá dec en el codito son joven asesinado jóvenes más heridos uno en cirugía un niño de años herido también y un joven detenido que no aparece todos iban en la van de transporte ,,169,1000,2100,https://twitter.com/petrogustavo/status/1340132514506170369,['@cancinodiegoa']
Gustavo Petro,@petrogustavo,2020-12-19T03:09:23.000Z,la destrucción de una ciudad de derechos en bogotá the following media includes potentially sensitive content change settings view,,188,1000,2400,https://twitter.com/petrogustavo/status/1340132089828696064,[]
Gustavo Petro,@petrogustavo,2020-12-18T19:59:45.000Z,la decisión tomada a última hora en la aprobación del código electoral y por iniciativa de german varón de vargas lleras y del centro democratico busca impedir que la colombia humana tenga plenos derechos para su participación electoral es un golpe contra la democracia,,153,803,2200,https://twitter.com/petrogustavo/status/1340023971585126400,[]
Gustavo Petro,@petrogustavo,2020-12-18T19:59:45.000Z,mi intervención sobre la exclusión de colombia humana y demas grupos significativos de ciudadanos de sus derechos politicos a participar en elecciones en coaliciones a diferencia de las demás organizaciones políticas se le excluye de derechos políticos fundamentalesquote tweet colombia humana dec ,,589,2100,5100,https://twitter.com/petrogustavo/status/1340023970033221633,['@colombiahumana_']
Gustavo Petro,@petrogustavo,2020-12-18T19:19:56.000Z,de nuevo se crea un das un cuerpo de inteligencia dependiente directamente del presidente la construcción dictatorial de colombia sigue su marcha el decreto que politiza la inteligencia nacional es contraproducente para la democracia y lesivo para la inteligencia nacional la incomprensible creación de tres centros de coordinación interagencial bajo la sombrilla de la consejería presidencial las orillas co,,98,860,1700,https://twitter.com/petrogustavo/status/1340013948876238853,[]
Gustavo Petro,@petrogustavo,2020-12-18T01:07:02.000Z,por fin oscar sanchez mi secretario de educación decide defender su propia obra educativa en bogotá humana brillante análisis para aquellos que aún creen que no hicimos un solo colegio en la ciudad leamos su balance edificios que hablan entre y se entregaron o iniciaron colegios negar una estructura de concreto es necedad eltiempo com,,79,1000,2700,https://twitter.com/petrogustavo/status/1339738910864248832,[]
Gustavo Petro,@petrogustavo,2020-12-17T16:43:04.000Z,el mecanismo covax que depende de donaciones para la vacuna es supremamente débil para garantizar la inmunización de la población colombiana frente al covid si el gobierno no compró las vacunas hay que permitir que la iniciativa privada lo haga quote tweet momo dec más temprano reuters informó que el esquema global covax para entregar vacunas a países más pobres en áfrica asia y américa latina enfrenta un riesgo muy alto de falla debido a la falta de fondos suministros y arreglos contractuales complejos ,,77,269,660,https://twitter.com/petrogustavo/status/1339612086104690689,['@momomachicao']
Gustavo Petro,@petrogustavo,2020-12-17T13:15:23.000Z,para ordenar la gran lista cerrada por el pacto para cambiar el congreso y hacer de la ley la regla al servicio de los intereses de la gente hagamos elecciones primarias en octubre para consultar a la ciudadanía para que tenga el poder de seleccionar y ordenar las candidaturas ,,46,430,1300,https://twitter.com/petrogustavo/status/1339559818697302016,[]
Gustavo Petro,@petrogustavo,2020-12-17T13:15:22.000Z,la proposición de roy rechazada en la plenaria que recogía nuestras propuestas en comisión primera arroja ahora que solo se podrá lograr paridad de género si las listas son cerradas y alternadas invito a hacer una gran lista cerrada y alternada para cambiar el congreso,,23,326,1100,https://twitter.com/petrogustavo/status/1339559816990175233,[]
Gustavo Petro,@petrogustavo,2020-12-17T13:15:22.000Z,no entiendo una lucha femenina sino es para garantizar derechos reales los premios de consolación no sirven lo que debe reformarse en colombia es que la elección de curules sea paritaria se puede hacer tanto en listas cerradas como abiertas ,,99,633,2600,https://twitter.com/petrogustavo/status/1339559815669043200,[]
Gustavo Petro,@petrogustavo,2020-12-17T12:57:45.000Z,vargas lleras con el centro democrático y los ayudaron liberales y verdes fajardistas son los que se lanzaron a quitarle los derechos politicos a la colombia humana tienen miedo que los desplacemos del congreso de la repúblicaquote tweet hollman morris dec este es el momento en que german varón de cambio radical impulsa negar el artículo del código electoral que le hubiera permitido a la calombia humana tener personería juridica les da miedo que la colombia humana tenga garantías renovaremos el congreso k views,,103,722,1500,https://twitter.com/petrogustavo/status/1339555381039800322,"['@hollmanmorris', '@petrogustavo']"
Gustavo Petro,@petrogustavo,2020-12-17T12:51:23.000Z,la decisión de permitir contratación de concejales por fuera de su entidad territorial permitirá la construcción de las maquinarias clientelistas más grandes de colombia con el dinero público quienes son autores de la iniciativa aprobada le han hecho un gran daño a la democraciaquote tweet germán navas talero dec que no nos crean caídos de la hamaca que le expliquen a la ciudadanía a quién se le ocurrió meter dentro de la conciliación del proyecto de los concejales que algunos de ellos pudieran contratar con el estado esos errorcitos no se cometen porque sí ,,17,428,966,https://twitter.com/petrogustavo/status/1339553780967350272,"['@gnavastalero', '@camaracolombia']"
Gustavo Petro,@petrogustavo,2020-12-17T12:41:47.000Z,ante la decision del congreso de quitar derechos políticos a colombia humana la convoco a discutir la estrategia para desplazar la corrupción y la antidemocracia del congreso y lograr un parlamento al servicio de la ciudadanía esa es la prioridad antes de ganar la presidencia ,,456,1800,6300,https://twitter.com/petrogustavo/status/1339551363081113600,[]
Gustavo Petro,@petrogustavo,2020-12-17T12:38:47.000Z,no hay paridad de genero solo porque las listas se integren por mitad hombres y mitad mujeres como propusimos en comisión y votamos en plenaria sin éxito es que la paridad se establezca en la elección de las curules y no solamente en la participación en la lista quote tweet bluradio colombia dec opine en mañanasblu a propósito de la aprobación de paridad de género en la reforma del código electoral usted votaría por una mujer solo por el hecho de ser mujer los leemos show this poll,,16,197,653,https://twitter.com/petrogustavo/status/1339550607506608128,['@bluradioco']
Gustavo Petro,@petrogustavo,2020-12-17T12:32:30.000Z,votamos en contra del código electoral porque el senado de la república decidió suspender los derechos politicos a los grupos significativos de ciudadanos en clara acción contra colombia humana ,,51,601,2500,https://twitter.com/petrogustavo/status/1339549027118051331,[]
Gustavo Petro,@petrogustavo,2020-12-17T12:32:29.000Z,deje de calumniar catherine he participado en todo el debate del código electoral creo que fui fundamental en impedir que se derogara la ley d garantías logramos toda la auditoria a los softwares en tiempo real y el cumplimiento de sentencia de la cidh sobre derechos politicosquote tweet catherine juvinao c dec muy atípico el papel de petro dos días perdido apareció al final no participó ni incidió en el trámite no ayudó a contener peligros ni micos aún siendo él víctima de fraude irónicamente se fue a ver ballenas y salió con un voto simbólico al final cuando ya para qué ,,312,1400,5200,https://twitter.com/petrogustavo/status/1339549025549348864,['@cathyjuvinao']
Gustavo Petro,@petrogustavo,2020-12-17T03:18:55.000Z,al final el código electoral solo tenia un objetivo votado por la mayoría del senado quitarle derechos políticos fundamentales al grupo significativo de ciudadanos colombia humana un hecho más de vulneración de derechos politicos,,362,1800,6600,https://twitter.com/petrogustavo/status/1339409714220851201,[]
Gustavo Petro,@petrogustavo,2020-12-16T15:14:35.000Z,al mismo tiempo que duque lanza su ofensiva gran hotelera sobre la sierra nevada llega el paramilitar hernan giraldo a la zona cada megaproyecto trae su dosis de muertepolémica por la vía minca—la tagua sierra nevada por lucio torres polémica por la vía minca—la tagua sierra nevada por lucio torres laregional net,,54,984,1800,https://twitter.com/petrogustavo/status/1339227429710286848,[]
Gustavo Petro,@petrogustavo,2020-12-16T12:25:04.000Z,la fiscalía de nestor humberto y duque ha involucrado a estudiantes universitarios en procesos de terrorismo ni en la época del estatuto de seguridad de turbay se llegó a esa cifra es un ataque frontal a la juventud y el saber fascismo puro quote tweet noticias uno dec noticiasuno más de estudiantes universitarios del país han sido involucrados en expedientes por rebelión y terrorismo de la fiscalía que después de encartarlos sólo pudo probar hechos en casos ,,150,1000,2300,https://twitter.com/petrogustavo/status/1339184767204536320,['@noticiasuno']
