nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Ing Rodolfo Hernandez !,Ing Rodolfo Hernandez !,,,,,,,
MARTHA LUCIA FERNAND,MARTHA LUCIA FERNAND,2021-08-17T14:37:42.000Z,Senilidad...,,,,,https://twitter.com/PACALUCIAALONSO/status/1427640785760047110
SOSColombia con el 2022,SOSColombia con el 2022,2021-08-17T14:38:15.000Z,Jajajaja de Hitler a EInsten está bien lejos,,2,3,59,https://twitter.com/walhcar/status/1427640925585543171
Julián,Julián,2021-08-17T14:39:19.000Z,"En el vídeo el dice el pensador alemán que dijo ""Si buscas resultados distintos, no hagas siempre lo mismo"".
Hitler ni era pensador, ni dijo esa frase ni era alemán.
Einstein si dijo esa frase, si era pensador y si era alemán.
Aún está bien lejos?",,4,6,54,https://twitter.com/Juliandux/status/1427641193589088262
Ramiro Parra,Ramiro Parra,2021-08-17T14:41:16.000Z, La vejez que le deja escapar marranadas,,,,3,https://twitter.com/RamiroP19149878/status/1427641684628807691
Wilmer Javier Gomez Martinez,Wilmer Javier Gomez Martinez,2021-08-17T14:43:52.000Z,"Jajajajja nada más me lo imagino como presidente, espero mejor cometa las cagadas sin serlo que cuando lo sea (si llegase a serlo ) , por qué de cagadas ya estamos aburrido con ivancito 
@IvanDuque
 que cada día se parece más a su homólogo de venezuela.",,2,1,15,https://twitter.com/wilmergomez13/status/1427642337027665923
Sebastian S.,Sebastian S.,2021-08-17T15:18:39.000Z,"Pues hay que ver quién las reconoce y se disculpa, creo que nunca he visto a Ivan duque ni aceptándola y mucho menos disculpándose",,,,15,https://twitter.com/SerraSeb/status/1427651091290890244
Antonio Fajardo S.,Antonio Fajardo S.,2021-08-17T14:44:43.000Z,Una equibocacion que no vale un peso.... se debe hacer escandalo por otras cosas mas importantes,,7,1,5,https://twitter.com/AntonioFajardoS/status/1427642551406931981
Jimmy Sanchez,Jimmy Sanchez,2021-08-17T14:45:16.000Z,Jajajajaja  energúmeno,,,,1,https://twitter.com/JimmyASanchick/status/1427642689676251149
Carlos Ivan Miranda,Carlos Ivan Miranda,2021-08-17T14:46:52.000Z,PLOP!!!,,,,1,https://twitter.com/carlosivanlegal/status/1427643095164796930
Cristian,Cristian,2021-08-17T14:47:19.000Z,"Jajajajajajjajajajaja ya la cago, lo dijo con mucha seguridad",,1,,4,https://twitter.com/Crgomez1411/status/1427643207085592580
Antiuribista,Antiuribista,2021-08-17T14:47:49.000Z,"jajaja , pero quien carajo confunde a Einstein con Hitler???, osea pffff",,9,6,149,https://twitter.com/miguel_monsal/status/1427643333267140618
David Lopez,David Lopez,2021-08-17T14:49:35.000Z,"A cualquiera le pasa, pero no a el futuro presidente",,3,,1,https://twitter.com/Entropia321/status/1427643776470818821
Felipe Abondano,Felipe Abondano,2021-08-17T14:51:06.000Z,Siga así.,,,,,https://twitter.com/AbondanoFelipe/status/1427644159196868609
Julio Vargas,Julio Vargas,2021-08-17T14:53:57.000Z,"Lo admira tanto que cree que todas las frases célebres son de él.

#Populismo.
#Matarife",,1,,6,https://twitter.com/jvargasvil/status/1427644877525983237
Leandro82,Leandro82,2021-08-17T14:55:11.000Z,Señor ex alcalde.. que paso con lo de Vitalogic... ? ya lo absolvieron?.. o sigue en proceso,,,,1,https://twitter.com/Leandro8213/status/1427645184557428755
Sherlock Jorges,Sherlock Jorges,2021-08-17T14:57:16.000Z,Es que ser presidente a los 77 años va a ser complicado si la cabeza ya no le da. Pero felicitaciones por el tercer puesto en las encuestas.,,3,,5,https://twitter.com/SherlockJorges/status/1427645712037203971
Ricardo Montañez Castro,Ricardo Montañez Castro,2021-08-17T15:01:54.000Z,"Desde que dijo que estaba en deuda con 
@AlvaroUribeVel
 sabíamos que usted no representaba una alternativa viable para el país ",,2,1,20,https://twitter.com/richard13mc/status/1427646877034504208
Álvaro Benedetti - Desarrollo,Álvaro Benedetti - Desarrollo,2021-08-17T15:03:07.000Z,"Pilas con las metidas de pata, cuestan demasiado al final. Nuestro concurso en el direccionamiento estratégico de la campaña 
@AriLandsmart
 @estrategios",,2,,1,https://twitter.com/dialbenedetti/status/1427647185148055563
Un Man X,Un Man X,2021-08-17T15:07:48.000Z,Chupelo payaso,,,,1,https://twitter.com/UnMan_X/status/1427648363030274055
RodriguezDavid,RodriguezDavid,2021-08-17T15:08:00.000Z,"Todos tenemos derecho al beneficio de la duda, pero ese lapsus no es muy creíble ingeniero.",,1,,3,https://twitter.com/AmbientalDavidR/status/1427648412112015366
Alejo Merchan,Alejo Merchan,2021-08-17T15:10:57.000Z,Ingeniero usted me hace reír cada de habla de esos politiqueros jajajaja me esta convenciendo para votar por usted,,,,,https://twitter.com/alejomerchan11/status/1427649152641556480
ka.trina,ka.trina,2021-08-17T15:12:45.000Z,"Ingenieto, recuerde q la centro derecha es el camino. NO LO PIERDA",,,,1,https://twitter.com/Esingenieria/status/1427649608142917641
avca,avca,2021-08-17T15:17:16.000Z,Oops!!,,,,1,https://twitter.com/AVCAAAA/status/1427650742228328463
ricardo toloza rueda,ricardo toloza rueda,2021-08-17T15:17:29.000Z,"Bueno aceptadas las disculpas, ahora por favor ayude a aportar soluciones para el problemón de las basuras. Pero otra que no sea VITALOGIC.",,,,6,https://twitter.com/ricardotoloza60/status/1427650799216340992
Epa Colombia,Epa Colombia,2021-08-17T15:20:49.000Z,Convencido!!!,,,,1,https://twitter.com/Epa__Colombia/status/1427651639377334282
David Porras,David Porras,2021-08-17T15:21:50.000Z,"El 
@ingrodolfohdez
 va a ser el próximo presidente de COLOMBIA ",,,,3,https://twitter.com/PORRASOPINION/status/1427651891283046401
Analista,Analista,2021-08-17T15:23:36.000Z,Así de SIMPLE:,,1,9,58,https://twitter.com/Analist56181232/status/1427652337384968192
daneluc,daneluc,2021-08-17T21:45:29.000Z,Jajajaa....,,,,,https://twitter.com/daneluc/status/1427748439866105860
Joel J Ruiz,Joel J Ruiz,2021-08-17T15:24:59.000Z,Que hombre ,,1,,,https://twitter.com/jjruiz_8709/status/1427652686405636102
FuManChu,FuManChu,2021-08-17T15:25:18.000Z,Ojalá por la mañana no confunda la mierda con su desodorante…,,,,1,https://twitter.com/sardianra/status/1427652765816328201
Cristian,Cristian,2021-08-17T15:34:29.000Z,Hola don adolfo,,,,1,https://twitter.com/Crgomez1411/status/1427655077553229825
Goret,Goret,2021-08-17T15:35:11.000Z,Relax amigo que usted nos va a sacar del mierdero en el que nos tiene Duque.,,1,,1,https://twitter.com/DebnamCYP/status/1427655254959591441
Santiago Castellanos,Santiago Castellanos,2021-08-17T15:36:17.000Z,Con el mayor respeto por los payasos....pensar que un personaje de estos nos gobierne es salir de GuateMALA a GuatePEOR....UNA PAYASADA CONSTANTE.,,2,1,5,https://twitter.com/santiagocm70/status/1427655528252116993
