nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
,,2021-05-25T01:55:40.000Z,,,,,,https://twitter.com/Julio1y3/status/1397008432310497282
M. Carolina .,M. Carolina .,2021-05-25T01:55:57.000Z,Un poco de fósiles pensionados que sabrá la madre de ellos quienes son .,,,1,12,https://twitter.com/MirianL57978939/status/1397008503751991297
Gómez C Abogados & Cia,Gómez C Abogados & Cia,2021-05-25T01:56:25.000Z,Por fin alguien sensato que habla y si dice las verdades y las cosas como son  CABAL Presidencial   ,,8,2,22,https://twitter.com/wgomezcobo/status/1397008621712642050
EJ Pérez,EJ Pérez,2021-05-25T02:13:22.000Z,GIF,,3,,22,https://twitter.com/EJPrz52/status/1397012889572098048
El Conde de Salem,El Conde de Salem,2021-05-25T01:56:58.000Z,De acuerdo mafer! Así se habla!,,,2,15,https://twitter.com/condedesalem/status/1397008759667499009
YESIC@,YESIC@,2021-05-25T01:57:24.000Z,Gracias por apoyar la fuerza pública.,,1,1,18,https://twitter.com/YesiMer_2021/status/1397008871546400775
Jose Antonio Negrete Perez,Jose Antonio Negrete Perez,2021-05-25T01:57:58.000Z,"Cuestionada la elección suya comprando votos y sus secuaces condenados y usted por favores políticos ni la han tocado aún.
Ni un voto para usted.
Acabaremos con el uribismo en las urnas 2022",,15,5,182,https://twitter.com/negrete_perez/status/1397009012051398658
Mejiasi,Mejiasi,2021-05-25T02:18:43.000Z,"Siga chillando que la Senadora 
@MariaFdaCabal
 tiene muchos electores",,19,5,66,https://twitter.com/Mejiasi4/status/1397014235641794569
Felipe Suarez,Felipe Suarez,2021-05-25T01:58:13.000Z,"Esos del paro son unos tipos que nunca en su vida han trabajado, se aprovechan de tanto idiota útil.",,,2,12,https://twitter.com/lfsuarezg/status/1397009075620175876
bairon herrera,bairon herrera,2021-05-25T01:58:35.000Z,"Replying to 
@MariaFdaCabal",,2,4,30,https://twitter.com/baironherrera_/status/1397009167492210688
felipe arrubla,felipe arrubla,2021-05-25T01:58:54.000Z,"Les dijo lo que era , y eso que tenia tapabocas..",,1,7,68,https://twitter.com/pipearrubla/status/1397009247263723525
Alejo Gonzalez,Alejo Gonzalez,2021-05-25T01:59:08.000Z,Hablando de elecciones cuestionadas.,,1,2,17,https://twitter.com/DonCachaco/status/1397009304595664898
Camilo,Camilo,2021-05-25T01:59:56.000Z,Maria Fernanda toda mi admiración. La izquierda es el peor cáncer de este país. Solo quiero Fernanda que seas nuestra próxima presidente en el 2022.,,2,,7,https://twitter.com/CamiloG2021/status/1397009506668843008
Gomez David,Gomez David,2021-05-25T02:00:29.000Z,Excelente senadora,,,3,22,https://twitter.com/GomezDa78155177/status/1397009646385352711
Omar White,Omar White,2021-05-25T02:00:51.000Z,Muchas gracias señora senadora por esa palabras de fuerza y ánimo hacia los colombianos de bien.,,4,2,25,https://twitter.com/Omarwhite_1/status/1397009736801955843
Emerson Campo,Emerson Campo,2021-05-25T16:00:23.000Z,,,,,6,https://twitter.com/EmerCampo/status/1397221015885950991
Ximena Cifuentes,Ximena Cifuentes,2021-05-25T02:00:58.000Z,Los mismos del paro pacifico los desconocen,,,3,7,https://twitter.com/ximecifuentes60/status/1397009767957204999
Camilo,Camilo,2021-05-25T02:01:24.000Z,Maria Fernanda todo mi apoyo para el 2022. Todo lo que pueda ayudar estaré a disposición. No podemos permitir que el comunismo se tome colombia.,,58,10,163,https://twitter.com/CamiloG2021/status/1397009878175125506
LocutusNFT.eth,LocutusNFT.eth,2021-05-25T02:46:22.000Z,"La toma comenzo hace mucho tiempo, yo diria cuando le hicieron encerrona a Laureano Gomez, alli la Izquierda agarro fuerza. Ya con Belisario y Santos afianzaron completamente el poder. Hay que hacer es la ""retoma"" porque hace rato estan montados en el gobierno.",,2,1,3,https://twitter.com/Casagrande_Jose/status/1397021194784759811
Gomez David,Gomez David,2021-05-25T02:01:51.000Z,Como le duele la verdad a los mamertos. Los que son expertos en invertir la realidad,,1,2,11,https://twitter.com/GomezDa78155177/status/1397009991295438849
Kazapropia0605,Kazapropia0605,2021-05-25T02:01:56.000Z,"Muy bien Dra mejor no canta un gallo, usted si me representa como senadora",,3,2,30,https://twitter.com/Kazapropia0605/status/1397010013193969666
Jorge Alejandro,Jorge Alejandro,2021-05-25T02:02:21.000Z,Incendiaron el Palacio. Incendiaron al policía. Incendiaron a Colombia. Quien? El M19 sigue más vivo que nunca. Pizarro y Petro nunca se desmovilizaron.,,4,4,22,https://twitter.com/FuerzaMiPatria/status/1397010114771628032
Daniel..,Daniel..,2021-05-25T02:02:28.000Z,"Que ejemplo de cómo desmentir a los izquierdos, así es senadora las cosas tienen que decirlas como son ",,1,8,39,https://twitter.com/Daniel_79819/status/1397010143494217728
PleyadesUniversal,PleyadesUniversal,2021-05-25T02:02:29.000Z,"Replying to 
@MariaFdaCabal",,1,5,12,https://twitter.com/UniversPleyades/status/1397010150192472065
Fernando Blanco Ochoa,Fernando Blanco Ochoa,2021-05-25T02:03:24.000Z,"Verificar legalidad para actuar comité del paro , responsabilidad para los promotores , por todos los presuntos daños causados en la sombra !!
Deben pedir perdón al gobierno , instituciones , empresarios, industriales , comerciantes , sociedad colombiana !!",,1,11,27,https://twitter.com/Fernand29861942/status/1397010380682108932
Didier Becerra hoyos,Didier Becerra hoyos,2021-05-25T02:03:53.000Z,"La senadora María fernanda cabal, me representa, dice toda la verdad sobré ésta izquierda maléfica, qué sólo daño le hace al país, viva mi senadora cabal, Dios lo bendiga",,32,35,183,https://twitter.com/DidierBecerra4/status/1397010500618276867
