nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
YifeMunoz,YifeMunoz,2021-08-15T21:06:58.000Z,"Ya no saben que inventar! Que Venezuela, que Perú , cómo si acá todo estuviera bonito. Facista",,,,1,https://twitter.com/yifem/status/1427013974059589648
Gerard le ferre,Gerard le ferre,2021-08-15T21:08:04.000Z,"Lo que hay que erradicar del estado, es el narcoparamilitarismo que logró enquistar el uribismo y su CD.
Colombia lo vio a ud en un video preguntando por el desarrollo d las negociaciones en la Habana para atacarlos.
Después salieron con e cuento que fue una emboscada de Santos.",,,,4,https://twitter.com/gequigo/status/1427014250174758915
jotacleo,jotacleo,2021-08-15T21:09:57.000Z,Ud no actuó en los momentos más oscuros que ha vivido el país se quedó callado no salió a defender la democracia esta vez no.,,,1,3,https://twitter.com/julin3030/status/1427014722558308353
Paulo César Albán C.,Paulo César Albán C.,2021-08-15T21:12:30.000Z,La democracia de Odebrecht será,,,,1,https://twitter.com/pauloalban/status/1427015364806946816
José Armando Murcia,José Armando Murcia,2021-08-15T19:27:38.000Z,"Uno se imagina un gobierno suyo y le da es tristeza ...nos pusieron un presidente que no fue capaz de cumplir ninguna sola promesa  de campaña, y lo peor es uribista ,y con usted la renovación parece un chiste....no más corruptos en el poder.",,,,,https://twitter.com/petete8445/status/1426988974082596865
Jose De La Cruz López Baleta,Jose De La Cruz López Baleta,2021-08-15T19:28:02.000Z,Este man parece un muñeco de ventrílocuo.,,,,,https://twitter.com/josearx83/status/1426989075169427463
a,a,2021-08-15T19:28:10.000Z,Sinvergüenza,,,,,https://twitter.com/alejojimenez83/status/1426989110418366479
John Zambrano,John Zambrano,2021-08-15T19:29:01.000Z,Siempre el mismo discurso de mierda tirándole a otros sectores y las mismas promesas q nunca cumplen ,,,,,https://twitter.com/johnzambrano077/status/1426989321593180162
mari lu,mari lu,2021-08-15T19:29:09.000Z,"Sr. Oscar ivan, se le abona la intención, pero no más tibiezas.",,,,,https://twitter.com/marilu73054907/status/1426989358700273670
LilMomToDo,LilMomToDo,2021-08-15T19:29:40.000Z,Los sótanos del infierno están desatados,,,,,https://twitter.com/Kittybeasts/status/1426989488597839880
DesoNestor Morales,DesoNestor Morales,2021-08-15T19:30:25.000Z,Usted debe evitar caer en nuevas chuzadas,,,,,https://twitter.com/fatherdj20/status/1426989676192227333
JUAN GALE,JUAN GALE,2021-08-15T19:33:27.000Z,"La misma mentira, el mismo cuento de generar miedo en las mentes débiles. No más con ese cuento, Colombia está sumida en la pobreza, en una violencia desgarradora, en el narcotrafico, la corrupción y todo es culpa de estos engendros del Uribismo. Debemos derrotarlos en el 2022.",,,,,https://twitter.com/JUANGALE9/status/1426990439291408387
ali's,ali's,2021-08-15T19:34:53.000Z,"Todo su partido, los partidos aliados y los independientes (personas de partidos) aliados a uds. Nos tienen quebrados !!! Aquí los últimos años ha ganado el que uds. Ponen con poderes como el del difunto ñeñe",,,,,https://twitter.com/thumos3110/status/1426990799774957573
John Narváez,John Narváez,2021-08-15T19:35:32.000Z,"@petrogustavo
 presiente 2022",,,,,https://twitter.com/Jon_Narcas/status/1426990961285124101
JuanBogotá,JuanBogotá,2021-08-15T21:16:37.000Z,Y Nosferatus Zuluaga escupiendo el mismo discurso trillado de otrora del Uribismo desde hace 20 años. #UribistasPatéticos,,,12,37,https://twitter.com/Juan0Bogota/status/1427016402192502789
enaes,enaes,2021-08-15T21:18:24.000Z,"Negación de un gobierno corrupto, narco y paraco quieren venir a arreglar lo que ellos han mal por décadas, no gracias #PETROPRESIDENTEDECOLOMBIA2022",,1,1,5,https://twitter.com/enyapraez/status/1427016850307796994
enaes,enaes,2021-08-15T21:33:13.000Z,*hecho mal,,,1,1,https://twitter.com/enyapraez/status/1427020578469421058
NANCY C. MORERA,NANCY C. MORERA,2021-08-15T21:20:26.000Z,Descarado. Será que con el Uribismo estamos igual que en Suiza. Vaya y responda mejor por Obedrect!,,,,1,https://twitter.com/nacrimo/status/1427017361266253826
Palmer,Palmer,2021-08-15T21:21:37.000Z,"Asesinan a 80 jóvenes que protestan constitucionalmente, los mutilaron, desaparecieron, violaron niñas que luego se suicidaron, el presidente protege a ministra que se roba 70.000 mil millones, entes de control en poder del ejecutivo,
¿Es esta la democracia que debemos proteger?",,1,10,31,https://twitter.com/palmer1505/status/1427017659317641228
william hurtado,william hurtado,2021-08-15T22:55:04.000Z,#ZurriagaReturn,,,2,2,https://twitter.com/wilijart/status/1427041177518452744
MAURICIO ALARCON,MAURICIO ALARCON,2021-08-15T21:26:01.000Z,"La democracia es para hacer valer la voluntad de las mayorías,no para arrodillarse ante grupitos de delincuentes quienes se camuflan bajo el Est.deDerecho para imponer sus aberraciones,mire las componendas farcSANTOS
Las FARC continuaron delinquiendo y peor,hoy tienen congresists",,,,1,https://twitter.com/AlarkonMaurizio/status/1427018768094466050
ilegi2,ilegi2,2021-08-15T21:27:51.000Z,Nada que ver ya tu no sirves para presidente,,,,1,https://twitter.com/ilegi2/status/1427019230541647873
"Normal Rick, madafakas!!!","Normal Rick, madafakas!!!",2021-08-15T21:30:20.000Z,"Insisto, dedíquese a la actuación...",,,2,4,https://twitter.com/rikialma1/status/1427019853706285058
Antonio bernier,Antonio bernier,2021-08-15T21:30:29.000Z,"Si como no ese chantaje de que vamos a ser como Perú o como Venezuela, eso se lo creará su madre y su jefe AUV pero el pueblo colombiano no come ya cuento, Perú voto bien, USA con Baiden voto bien no comieron cuento del tal CastroChavismo, busque otra estrategia de campaña.",,,,1,https://twitter.com/Antoniobernier6/status/1427019892423897089
J v M,J v M,2021-08-15T19:35:35.000Z,Este señor representa todo lo que está mal y tenemos que cambiar en este país.,,,,,https://twitter.com/JvM_Col/status/1426990975839358978
Lester Burnham,Lester Burnham,2021-08-15T19:35:45.000Z,"Colombia aguanta unos años más de saqueo, robo, impunidad, retraso en infraestructura.. adelante estimado Oscar",,,,,https://twitter.com/andrespirajan/status/1426991018960953348
SOULFLY SAINT,SOULFLY SAINT,2021-08-15T19:35:56.000Z,"Odebrecth, ",,,,,https://twitter.com/RollinsBand/status/1426991062854377473
Elrolo,Elrolo,2021-08-15T19:36:23.000Z,Están asustados estos hijueputas que en vez de hacer política tienen que hablar mal de la oposición para ganar la credibilidad que tienen en el piso. Cómo ya se les acabó el patrocinio de #Odebrecht y mataron al #Ñeñe no tienen de dónde sacar plata para comprar los votos,,,,,https://twitter.com/ivan_0222/status/1426991177967063044
aplastasoquetes,aplastasoquetes,2021-08-15T19:36:29.000Z,"Despierta ,,,nadie te cree",,,,,https://twitter.com/aplastasoquete1/status/1426991201685807111
La verdad nos hará libres,La verdad nos hará libres,2021-08-15T19:36:34.000Z,"Hmmmm, entonces les gusta en lugar de mejorar las condiciones de todo un pueblo y escucharlos, asesinarlos, desplazarlos, desaparecerlos, que salgan toneladas de drogas, que las instituciones estén pisoteadas y todo producto de la putrefacta derecha...",,,,,https://twitter.com/samario_7/status/1426991222200090632
