nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Óscar Iván Zuluaga,Óscar Iván Zuluaga,,,,,,,
Didier Salazar Meléndez,Didier Salazar Meléndez,2021-08-21T15:23:30.000Z,Sacar de la política a los ladrones de cuello blanco ... Acuerdo de peo ! El mejor castigo es no elegirlos más. he dicho .,,,,2,https://twitter.com/didierjair/status/1429101865925582850
Alekzander Gente de Mal,Alekzander Gente de Mal,2021-08-21T15:23:45.000Z,"Así es, sin perdón ni olvido.",,,,1,https://twitter.com/Lord_Survivor/status/1429101928428998657
Edgar Mendoza,Edgar Mendoza,2021-08-21T15:24:27.000Z,"Este partido De gobierno ,Oscar , que tú representas , es más de estos 3 años de Iván , un cambio? Pero de muñeco !",,,,3,https://twitter.com/ragdelirio/status/1429102103235112966
Butters,Butters,2021-08-21T15:24:42.000Z,"Jajaja los mismos que criticaban la consulta anticorrupción y que le hicieron campaña en contra?
Coma mierda con todo respeto:v",,,,2,https://twitter.com/Buterss_Sttotch/status/1429102166761955328
El Observador!!,El Observador!!,2021-08-21T15:27:01.000Z,"El tema es central y su partido y jefe de partido están en el gobierno central, coje ese trompo en la uña",,1,1,1,https://twitter.com/jlpb32/status/1429102748667109381
D.,D.,2021-08-21T15:30:38.000Z,"¿Hastiados de la corrupción de la ministra 
@karenabudi
 en el gobierno de 
@IvanDuque
 que es del 
@CeDemocratico
 partido por el cual usted aspirará? ¡Ni asomó de vergüenza el de ustedes!",,,,9,https://twitter.com/dafranvi21/status/1429103659594534919
Lina Marcela,Lina Marcela,2021-08-21T15:32:28.000Z,Te creemos ,,,1,20,https://twitter.com/Limazapitti/status/1429104120426901509
Arthur Pendragon,Arthur Pendragon,2021-08-21T15:32:40.000Z,Sea serio... cuéntenos cual fue el acuerdo que hizo para favorecer a su hijo y salir limpio de las investigaciones que tenía y que si llega a ser presidente cosa que dudo le colaborará a la izquierda colombiana?  Ud es un vulgar infiltrado como Santos y Duque,,,,2,https://twitter.com/666Berm/status/1429104170896855046
José Vicente,José Vicente,2021-08-21T15:34:58.000Z,"Sabe a lo que le sabe a 
@tomasuribeECO
.",,1,13,86,https://twitter.com/joseshidarta/status/1429104750771978242
wbeimar garcia,wbeimar garcia,2021-08-21T16:26:11.000Z,Déjeme ser su ahijado!!!,,,,2,https://twitter.com/wbeimarG/status/1429117637997600769
fenix2021,fenix2021,2021-08-21T15:37:40.000Z,Y que opina del robo de los 70 mil millones,,,,9,https://twitter.com/fenix20215/status/1429105428336631814
Andres,Andres,2021-08-21T15:38:18.000Z,#UribismoTraqueto #UribismoCriminal #UribismoCunaDeRatas #NoMasUribe,,,1,,https://twitter.com/andresdilin/status/1429105590157070340
Laura Velandia,Laura Velandia,2021-08-21T15:38:29.000Z,"Usted? Con ese inmenso rabo de paja? Se va a chamuscar, ¡sinvergüenza!",,,,4,https://twitter.com/lauravevi/status/1429105632930582534
Yolie,Yolie,2021-08-21T15:38:59.000Z,Jajajajajja,,,,1,https://twitter.com/Lentejas_19/status/1429105762677235718
Alexander Arboleda M,Alexander Arboleda M,2021-08-21T15:39:00.000Z,"Mientras Uribe sea el líder natural de tu partido político, todas tus propuestas son un pájazo mental",,1,3,66,https://twitter.com/aarboledam/status/1429105763767754758
y entonces,y entonces,2021-08-21T17:15:55.000Z,Amén ,,,,2,https://twitter.com/Ronald07122019/status/1429130154228555784
Francisco Quiñones,Francisco Quiñones,2021-08-21T15:39:21.000Z,"Replying to 
@OIZuluaga",,,1,,https://twitter.com/FranciscoQuio12/status/1429105854947729412
Zumbambico,Zumbambico,2021-08-21T15:39:43.000Z,Corrupción de la cual usted ha sido participe y ahora promete combatir. ¿Propondrá un muro de la vergüenza? ¿Escuadrón Anti corrupción? La corrupción es parte del ADN político del uribismo.,,1,17,186,https://twitter.com/Pelagato0285/status/1429105944676474885
Eduardo Brand,Eduardo Brand,2021-08-22T00:43:37.000Z,"La corrupción no tiene color ni partido, en todos los partidos, TODOS, hay haraganes que quieren desangrar el país. El tema de la corrupción se ataca como política de estado haciendo una reforma a la justicia pero YA. Saque la justicia de los partidos políticos y verá el cambio",,1,,3,https://twitter.com/Eduardo_Brand/status/1429242823602225156
Capitalino,Capitalino,2021-08-21T15:40:53.000Z,"Jajajajajajajaja, la mejor solución para ese cáncer es sacarlos del poder ...",,,,15,https://twitter.com/capitalino99/status/1429106239678595073
Mauro,Mauro,2021-08-21T15:41:17.000Z,Yo propongo que usted pague cárcel por odebretch,,,,3,https://twitter.com/maurifonse20/status/1429106338055999498
Xavier Antaño,Xavier Antaño,2021-08-21T15:42:03.000Z,"No no no déjate de esa doble moral y el sinismo, o tenés memoria a corto plazo de ustedes estamos artos promotores de la corrupción, de ustedes...",,,,2,https://twitter.com/XavierCriado33/status/1429106534206918656
Ancízar Casanova R,Ancízar Casanova R,2021-08-21T15:42:48.000Z,"Pros y contras de la propuesta de 
@OIZuluaga
. Los leo",,8,,,https://twitter.com/Casanovancizar/status/1429106721037881348
Jose Alvarez,Jose Alvarez,2021-08-21T17:04:38.000Z,"Pros ninguno, contras todo. Repite lo mismo de sus sucesores y en casi 30 años de gobierno nada cambia, cada días más corruptos especialmente los del CD",,,,9,https://twitter.com/joseal09/status/1429127313493532676
Gregorio Oviedo,Gregorio Oviedo,2021-08-21T15:43:14.000Z,"Dr Zuluaga,la gente está hastiada d la corrupción d ustedes q ha llegado a su cenit en este gobierno, quizá el + corrupto d toda la historia republicana;por lo demas,ud no tiene autoridad moral para sr adalid d la anticorrupción. Odebrecht y el hacker son sus sombras permanentes.",,2,19,118,https://twitter.com/gregoriooviedo5/status/1429106829569703943
felix quiroz,felix quiroz,2021-08-21T18:15:58.000Z,"Con ese cuento ganara adeptos?
El bazar de los odiotas, sexta temporada.",,,1,4,https://twitter.com/Ferqui01Felix/status/1429145264913362945
Otro Mamerto,Otro Mamerto,2021-08-21T15:44:11.000Z,"El Centro Democrático (partido x el cual ud aspira) lleva años administrando este país, hoy somos considerados uno de los países más corruptos, como diría el ex-presidiario: ""¿que supone uno?""",,,10,44,https://twitter.com/ChocoloverUWU/status/1429107067235803137
Johan Sanchez Gamboa,Johan Sanchez Gamboa,2021-08-21T15:44:17.000Z,"El de los 1,2 millones de USD entregados por Duda Mendoça hablando de corrupción? Habráse visto!!!",,,,14,https://twitter.com/JohanSGamboa/status/1429107095912255494
Edd,Edd,2021-08-21T15:44:33.000Z,"Uno de los beneficiarios de Odebretch hablando de lucha contra la corrupción. Definitivamente en el centro demoniaco no hay dignidad, solo cinismo.",,,1,4,https://twitter.com/eldelafro/status/1429107161230106624
Oscar Apraez E.,Oscar Apraez E.,2021-08-21T15:45:02.000Z,El uribismo corrupto nos aiiere cambiar,,,,1,https://twitter.com/oscarapraez/status/1429107282776834048
Jucles,Jucles,2021-08-21T15:45:03.000Z,"¿Hace cuanto que no sabe nada de Colombia?
Es decir, está ""informado"" por lo que le cuentan los del Centro Demoníaco, pero debería actualizarse, parece el Internet Explorer de la Politica...",,2,4,38,https://twitter.com/jucles023/status/1429107287566786564
Marcela©,Marcela©,2021-08-21T15:47:43.000Z,"En resumen: ""yo soy la solución porque ya robé mucho y en este momento no quiero hacerlo más"" ahhh, ya.",,,7,55,https://twitter.com/lacoboschica/status/1429107959532068874
Leo,Leo,2021-08-21T15:48:00.000Z,"un referendo donde la registraduría pone los votos,  claro esa es la salida....  pendejo",,,,24,https://twitter.com/kammus52/status/1429108028083785735
ivgecr2019 amazonas,ivgecr2019 amazonas,2021-08-21T15:48:36.000Z,"Ud es el candidato del uribismo que desde el Congreso siempre se opuso a reformas a la justicia y la política. Hundieron la reforma anticorrupción, han querido tumbar las curules de las víctimas son los que respiran tranquilos cada día que hay una masacre y otro ''buen muerto''.",,1,10,75,https://twitter.com/Ivager69/status/1429108179699474433
JC,JC,2021-08-21T15:49:12.000Z,Cual es el plan con las Farc y corruptos incrustados en el gobierno Doctor Zuluaga?,,,3,4,https://twitter.com/javilunchix66/status/1429108333189865472
La Colombia olvidada,La Colombia olvidada,2021-08-21T15:51:14.000Z,"Esta es la corrupción enquistada en el poder que es inamovible por el URIBISMO.
Miren estás imágenes antes votar en el 2022
#RompamosLasCadenas",,5,59,152,https://twitter.com/Luis10337702/status/1429108843024420866
JC,JC,2021-08-21T15:51:34.000Z,El único que puede arreglar esa podredumbre del gobierno es un Militar de Derecha como el General Augusto Pinochet que en Paz Descanse. No hay vuelta de hoja!,,9,1,9,https://twitter.com/javilunchix66/status/1429108925442400257
JC,JC,2021-08-21T15:52:08.000Z,El Único ,,,2,7,https://twitter.com/javilunchix66/status/1429109068124229642
Stinky Lomax,Stinky Lomax,2021-08-21T15:55:24.000Z,"Es decir, acomodar la Justicia como les sirva a los bandidos del 
@CeDemocratico
 ?",,,2,8,https://twitter.com/Ho_Li_Sheet/status/1429109891290046468
Eduardo Castro,Eduardo Castro,2021-08-21T15:57:26.000Z,Usted es la corrupción ... no se le olvide su viaje a Brasil ... hampón !,,,,17,https://twitter.com/canitocastro1/status/1429110402504437774
EGO TIBI ADVOCATUS,EGO TIBI ADVOCATUS,2021-08-21T15:46:57.000Z,"Ud lo ha dicho ""¡la sociedad está hastiada!""de políticos y corruptos como Ud, si la reforma que plantea lo hacen vía referendo, con toda seguridad sería una reforma definitiva y clara de este Estado putrefacto y del país que los políticos tienen acabado y prostituido",,,1,4,https://twitter.com/JURISTALATIN/status/1429107766451335178
Diana Gutiérrez,Diana Gutiérrez,2021-08-21T15:48:13.000Z,"El problema es que no hay a quién creerle porque todos dicen lo mismo y cuándo llegan se da uno cuenta que es un corruptazo peor que el anterior, sí estamos mamados de la corrupción, pero más de lo embusteros, desalmados y miserables que son los políticos",,1,,2,https://twitter.com/dianisgmendez/status/1429108085050707968
Álvaro Restrepo Toro,Álvaro Restrepo Toro,2021-08-21T15:48:50.000Z,"Eso mismo dijo Duque y nada.
Estamos mamados de promesas incumplidas.",,,1,4,https://twitter.com/alresto62/status/1429108239426375687
OscarPuentes,OscarPuentes,2021-08-21T15:49:03.000Z,"¿Porque su partido hizo campaña para que la gente no fuera a votar la consulta anticorrupción? Ustedes han tenido demasiadas oportunidades para combatir la corrupción, pero no lo van a hacer.",,,1,4,https://twitter.com/OscarPuentes6/status/1429108292635217925
@markoquinitro,@markoquinitro,2021-08-21T15:49:30.000Z,"Sr Zuluaga, al aceptar ser parte de ese antro democrático, está indicando que su ""carreta dela corrupción"" no la va a combatir, va a darle continuidad. Ud ya hizo parte de ese partido y sabe que es una anguila con los recursos públicos.¿A quién cree volverá a engañar?Fuera ratas!",,,2,2,https://twitter.com/markoquinitro/status/1429108406485409799
Edier Alexander Vargas Espitia,Edier Alexander Vargas Espitia,2021-08-21T15:50:27.000Z,Corrección: El tema de la corrupción es central en este y en un posible gobierno suyo.,,,,8,https://twitter.com/Alexander_shemA/status/1429108647943151621
Pedro R,Pedro R,2021-08-21T15:52:18.000Z,Más bien regresen los 70 mil millones del mintic y entreguen cuentas de los dineros para la atención del COVID. Usted es un chiste hablando de corrupción y justicia cuando en su partido solo hay corrupción y nada de justicia.,,1,,2,https://twitter.com/pedroro57881920/status/1429109112369991692
@Jlopez,@Jlopez,2021-08-21T15:56:50.000Z,Dr. La gente no cree mucho en Usted por el caso de Odebrecht dicen que Usted está untado y no defendió su Presidencia como debía ser.,,,,7,https://twitter.com/jamalopez33/status/1429110250918006784
A. T. P.,A. T. P.,2021-08-21T15:59:14.000Z,"Oscar, siendo ministro de hacienda adjudicaron la zona franca a los hijos de su patrón. Eso es corrupción o apoyo al emprendimiento familiar?
Los aportes de Odebretch a campañas políticas cómo se llama?
@funurbiano
 @EstebanCarlosM
 @oscaramontoya
 @PampineaXII
 @yumnapa
 @HFCardonaG",,,8,35,https://twitter.com/al3pape/status/1429110857192120326
Octavio C.,Octavio C.,2021-08-21T16:00:31.000Z,"Es claro que la corrupción no es solo del gobierno central y que es necesario combatirla.pero también es claro que usd tuvo la oportunidad, pero se escondió y se dejó quitar la presidencia le falto carácter o más bien… hay buenos candidatos en 
@CeDemocratico
 apóyelos.",,1,1,1,https://twitter.com/Octavio_Carsa/status/1429111179771850761
PerezTiicko,PerezTiicko,2021-08-21T15:28:05.000Z,Da un morbo saber cuál de estos dos (OIZ o M. Fda Cabal) se va pegar una descalabrada y una quemada de niveles históricos,,,,1,https://twitter.com/el_adhonorem/status/1429103018637774859
jorge oviedo,jorge oviedo,2021-08-21T15:33:31.000Z,,,,,,https://twitter.com/jorgeoviedo/status/1429104386064715782
@marioperico4,@marioperico4,2021-08-21T15:33:58.000Z,"!!  Total. !!

Ese es el camino correcto

Quitar todos los micos que

Han colgado al árbol de la

Democracia, todos los que

Hoy gozan del No uso del glifosato",,,,,https://twitter.com/marioperico41/status/1429104496551112710
MannyA,MannyA,2021-08-21T15:37:32.000Z,"Otra reforma a la justicia, no pues qué ideas tan innovadoras las del señor Zuluaga!!",,,,,https://twitter.com/MannyAr1802/status/1429105396208316416
Oscar Mejía S.,Oscar Mejía S.,2021-08-21T15:39:10.000Z,,,,,,https://twitter.com/oscaranmejia/status/1429105808734932995
David Tegui,David Tegui,2021-08-21T15:44:00.000Z,Con gusto. ,,,,,https://twitter.com/jdfranko/status/1429107022050562049
GETULIO VARGAS MADERA,GETULIO VARGAS MADERA,2021-08-21T15:44:05.000Z,Ustedes son la corrupción. De que me hablas viejo.,,,,,https://twitter.com/gevama0809/status/1429107042204241920
Lord-Zoquete,Lord-Zoquete,2021-08-21T15:44:46.000Z,Hahahaha este payaso hablando de combatir la corrupción cuando es uno de los decanos de la Universidad del Hampa!!!!,,,,,https://twitter.com/LordZoquete/status/1429107214241828868
Don Omar,Don Omar,2021-08-21T15:45:07.000Z,Regresan las chuzadas ?,,,,,https://twitter.com/DonOmar59772022/status/1429107306197929988
fredy torres,fredy torres,2021-08-21T15:45:45.000Z,Lo mismo decía duque y no hizo nada,,,,,https://twitter.com/fredytorressan/status/1429107462372724741
abdel alexis,abdel alexis,2021-08-21T15:46:19.000Z,Su propuesta me genera una DUDA.,,,,1,https://twitter.com/grafico1908/status/1429107605591449601
Lucho,Lucho,2021-08-21T15:46:44.000Z,Jajaja vuelven el payaso  Zurriaga del circo llamado Uribismo con nuevas funciones.,,,,1,https://twitter.com/lucho_monteria/status/1429107711166369793
Julian Quinto,Julian Quinto,2021-08-21T15:47:07.000Z,"Replying to 
@OIZuluaga",,,,,https://twitter.com/JulianQuinto3/status/1429107806238564355
Sergio G.,Sergio G.,2021-08-21T15:47:50.000Z,"Sí, ""el que la hace la paga"".",,,,2,https://twitter.com/SergioG28826412/status/1429107988908941313
Galileo,Galileo,2021-08-21T15:49:04.000Z,Menos mal que el Uribismo nos va a salvar del Uribismo.,,,,2,https://twitter.com/Galileo44427332/status/1429108300151496717
Digoyoo,Digoyoo,2021-08-21T15:49:21.000Z,"Y porque ud como integrante de este gobierno y del partido CD, no ha hecho nada de lo propuesto por ud en sus últimos trinos..??
No le creemos es más de lo mismo.",,,,1,https://twitter.com/hreyesp1/status/1429108370443800584
