nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Gustavo Petro,Gustavo Petro,,,,,,,
YAMYTH KAMYLO,YAMYTH KAMYLO,2021-02-05T21:45:48.000Z,Vamoooooo.... 2022 #PetroPresidente2022,,,1,9,https://twitter.com/YAMYTHKAMYLO/status/1357807665557221376
Sumerio.,Sumerio.,2021-02-05T21:45:57.000Z,"Si todos los que han jodido al país están en contra de una persona, se debe apoyar a esa persona. Si el banquero mayor de Colombia, que ha robado tanto, está con alguien, no se debe votar por esa persona. Simple lógica básica.",,25,5,146,https://twitter.com/Kevin1239872/status/1357807701292699652
Yose,Yose,2021-02-05T22:23:13.000Z,"Es tan obvio, que suena bobo y tiene hasta razón.",,1,,3,https://twitter.com/ynp1996/status/1357817080935026689
"La Paz, Dijo Colombianito.","La Paz, Dijo Colombianito.",2021-02-05T21:46:07.000Z,"Replying to 
@petrogustavo",,,43,85,https://twitter.com/LaPazColombiani/status/1357807744699535360
Jaguar,Jaguar,2021-02-05T21:46:14.000Z,"Así debe ser. La alianza debe ser con las ciudadanias diversas; mujeres, afro, lgbti, indigenas, trabajadores, jóvenes, pequeños y medianos empresarios, campesinos y demás",,5,25,169,https://twitter.com/CantorWerner/status/1357807773568954368
,,2021-02-05T21:45:48.000Z,,,,1,9,https://twitter.com/YAMYTHKAMYLO/status/1357807665557221376
Polombia Tierra Querí,Polombia Tierra Querí,2021-02-05T21:46:23.000Z,"Ya sus elecciones están ganadas, el problema más grande es ganarle a la 
@Registraduria",,2,3,40,https://twitter.com/PolombiaTierraQ/status/1357807811422470145
John Gonzalez,John Gonzalez,2021-02-05T21:46:30.000Z,Por algo ya no te quieren ....,,1,,8,https://twitter.com/JohnGon25893252/status/1357807838605832195
Alex Zambrano,Alex Zambrano,2021-02-05T21:46:34.000Z,"Replying to 
@petrogustavo",,,,3,https://twitter.com/nzambranog/status/1357807854745452545
juan castaño,juan castaño,2021-02-05T21:47:20.000Z,Usted  no me distingue señor Gustavo petro pero yo cómo gestor social  tengo un compromiso de ayudarte  ha ganar en primera vuelta para adelante  es para aya,,101,57,494,https://twitter.com/juancastao3/status/1357808048451039232
luzmy,luzmy,2021-02-05T22:00:11.000Z,"Jajajaja jajajaja así o más payasos  
#petrojamasserapresidente",,7,1,14,https://twitter.com/luzmyriam33/status/1357811281403723785
ᴇᴅᴡᴀʀᴅ ɴᴀʀᴠᴀᴇᴢ ☭ ★ Эдвард,ᴇᴅᴡᴀʀᴅ ɴᴀʀᴠᴀᴇᴢ ☭ ★ Эдвард,2021-02-05T21:47:43.000Z,"...Ah por ellos!!!.
NO MÁS URIBISMO, NI SUS SOCIOS.",,,3,19,https://twitter.com/EdwardNarvaez12/status/1357808147579207682
Ruido,Ruido,2021-02-05T21:47:55.000Z,"Replying to 
@petrogustavo",,2,,7,https://twitter.com/silenciovoraz/status/1357808196979687424
Adriana María Mejía Aguado,Adriana María Mejía Aguado,2021-02-05T21:48:12.000Z,Va pa’esa. Si no lo proponemos lo logramos.,,1,14,79,https://twitter.com/ammejiaaguado/status/1357808269499248649
Yamid Mera,Yamid Mera,2021-02-05T21:48:13.000Z,"Vamos, ahora mas que nunca el pueblo está unido con usted.
Esos otros que están haciendo alíanzas son Arrodillados al poder.",,1,1,15,https://twitter.com/YamidM5/status/1357808271202136072
Salbembé's,Salbembé's,2021-02-05T21:48:16.000Z,"Ningún ideal progresista, comunista  
justifica MATAR x amor a Colombia.
@ComunesCoL
 Paz? Perdón y olvido?",,32,9,68,https://twitter.com/ChatoSalsa1/status/1357808285055909888
AntiSantos,AntiSantos,2021-02-05T21:48:21.000Z,"¿ “Les propongo ganar la presidencia de la República en primera vuelta para cambiar de verdad a Colombia hacia la Paz, el Trabajo y la Democracia.” ?

Jajajajajaja me orine jajajajaja, te drogaste muy temprano, cuantas veces te he dicho que cuando este así NO twitees !!",,5,8,64,https://twitter.com/JuampaSantos/status/1357808303464669184
Santiago Córdoba,Santiago Córdoba,2021-02-05T21:48:36.000Z,"Lo que yo proponia. Los tibios quieren Segunda vuelta para chantajear por cargos y ministerios. 

En primera como AMLO y Lucho Arce. ",,17,32,305,https://twitter.com/bascobscd/status/1357808368426090497
