nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Gustavo Petro,Gustavo Petro,2020-12-13T04:31:19.000Z,,,,,,
Rasputon,Rasputon,2020-12-13T13:00:10.000Z,Luego se quejan cuando dicen que apoya la dictadura de Maduro,,6,3,122,https://twitter.com/proferasputon/status/1338106438531608580
Manuel Hernández,Manuel Hernández,2020-12-13T13:02:48.000Z,"La ola de emigración comenzó mucho antes que el ""bloqueo"".
 
Bloqueo entre comillas porque el chavismo ha demostrado que sigue haciendo negocios y puede comprar e importar productos sin ninguna dificultad. 

M
A
M
A
G
Ü
E
V
O",,4,13,135,https://twitter.com/manuelrhg/status/1338107099637829634
Manuel Ferrer,Manuel Ferrer,2020-12-13T13:03:11.000Z,Ay Petro. A veces sus opiniones se asemejan tanto al discurso anacrónico chavista-madurista.,,1,1,12,https://twitter.com/manuelferrerbe/status/1338107197914542080
The Regular Gatsby,The Regular Gatsby,2020-12-13T13:06:28.000Z,Será que esa gente murió ahogada por escapar de un país en colapso o por las sanciones que son para los gobernantes? Los bloqueos no son el problema. Espero que deje de ser tan mamahuevo y se jubile xd,,3,3,58,https://twitter.com/CCyberfunky/status/1338108022242103297
Nicolás Amon,Nicolás Amon,2020-12-13T13:44:32.000Z,"Los bloqueos no son el problema, claro. Cuánto duraría Colombia con esos bloqueos. 

Prohibir comprar deuda, no tendríamos ni cómo financiar la crisis del COVID.",,10,1,5,https://twitter.com/nicolasAmon/status/1338117604167344128
J Ernesto,J Ernesto,2020-12-13T13:09:15.000Z,"Guaido y sus amigos Rastrojos, Duque y Marta Lucía no conocen de dignidad, por eso piden bloqueos para asesinar a su pueblo, mientras se hacen con millones de pesos que nunca trabajaron.",,45,2,4,https://twitter.com/Jeperezv/status/1338108723114467328
Leonardo Yunda,Leonardo Yunda,2020-12-13T13:12:18.000Z,"El problema de Venezuela no comenzó con las restricciones de USA a nivel comercial y político, comenzó hace más de 15 años con el despilfarro y la corrupcción de sus líderes socialistas. Acabaron con el petroleo, devaluaron la moneda a históricos e hicieron a su población pobres!",,18,53,737,https://twitter.com/Leyunda/status/1338109491146059777
Alberto Marin,Alberto Marin,2020-12-13T15:17:43.000Z,"Usted ignora todo sobre Venezuela, ciertamente no comenzó con las restricciones que son oficiales hace 5 años, es que ya estaban de facto hace mas de 12 años, el saboteo económico comenzó en 2002",,34,10,48,https://twitter.com/pedrocamejo22/status/1338141053963169792
Jose Clavijo A,Jose Clavijo A,2020-12-13T13:33:04.000Z,"No, son consecuencia de irresponsables cómo Ud que lleva años mintiendo, hablando maravillas de un régimen de delincuentes, de Ud que negaba y está guardado, que en Venezuela había escasez de alimentos. Ud es una vergüenza para el pueblo colombiano.",,4,30,184,https://twitter.com/PepeClavijoA/status/1338114717689245699
búho,búho,2020-12-13T12:59:35.000Z,"Claro, la culpa siempre es de otros, deux ex machina",,,,12,https://twitter.com/muyinterior/status/1338106290833420289
alfredovargo,alfredovargo,2020-12-13T13:00:52.000Z,"Lo malo q pasa aquí es por culpa de PETRO:
_Alcaldesa le gritan asesina, culpa de Petro,
-la gente en la calle, PETRO
_cualquier manifestac, PETRO.
-Uribe a la cárcel, PETRO
-Fajardo investigado, PETRO.
Y concluyen q el único  beneficiado, PETRO.
Disco rayado de los periodistas",,1,1,3,https://twitter.com/CABLEPOLOMBIA/status/1338106616709787650
sergio andres alzate,sergio andres alzate,2020-12-13T13:01:38.000Z,"Estoy seguro que serías un buen vicepresidente de 
@NicolasMaduro",,1,,15,https://twitter.com/sergioalzatech/status/1338106807315795969
Pedro Angel #tapabocasparatodos,Pedro Angel #tapabocasparatodos,2020-12-13T13:02:31.000Z,"El desastre en Venezuela no es causado por las sanciones a Venezuela.
El gobierno de Maduro tiene el apoyo de China, Rusia, Turquía e Iran. 
El desastre es producto de políticas equivocadas y fracasadas.
La nacionalización de las industrias, el control de precios y otros...",,1,,14,https://twitter.com/pangel1960/status/1338107032038215683
Uribista Marihuanero,Uribista Marihuanero,2020-12-13T13:06:45.000Z,"El bloqueo lo invocas a tu conveniencia y a la del régimen venezolano. No veo bloqueo cuando Irán y Turquía se llevan el oro de allá, tampoco cuando venezuela compra armas y les llegan. Eso del bloqueo es la excusa. Los culpables son tus amigos dictadores.",,1,5,73,https://twitter.com/UribistaMarihu1/status/1338108095810183170
Jesus David,Jesus David,2020-12-13T13:17:33.000Z,Dígale lo mismo a Corea del Norte y cuba,,4,,13,https://twitter.com/jimenez0928/status/1338110812054032384
Christian Gonzalez,Christian Gonzalez,2020-12-13T13:09:17.000Z,"Hágase un favor, no defienda lo que en la realidad no sé puede defender",,,,8,https://twitter.com/christian_lez24/status/1338108734493614081
francy figuera,francy figuera,2020-12-13T13:14:42.000Z,"Y también consecuencia de los Discursos del Ladrón y Asesino de Niños Julio Borges, quien señalo por el mundo que los Venezolanos eran una Peste contagiosa para todos los demás Paises donde emigraran, y su Narco Gobierno lo tiene Protegido y Mantenido en Bogota.",,2,,3,https://twitter.com/FrancyFiguera/status/1338110097424322561
Víctor Roa Sanchez,Víctor Roa Sanchez,2020-12-13T13:18:54.000Z,"Está tragedia del bloqueo que permite importar vehículos de lujo, transferir dinero a través de BTC al mundo para lavar la corrupción pero no puede proteger a la gente. Hay que ser caradura para voltear el discurso",,1,12,120,https://twitter.com/victorhroa/status/1338111152199507970
Baluarte,Baluarte,2020-12-13T13:26:07.000Z,"Petro sigue justificando la miseria y la represión de la dictadura venezolana que se alejó del imperialismo norteamericano pero se acercó a Rusia, China o Iran dedicados al saqueo de los recursos de ese país.",,2,12,136,https://twitter.com/baluarte70/status/1338112967934693377
luis Velasco,luis Velasco,2020-12-13T13:26:33.000Z,En unos tuits habla del fracaso económico venezolano por las políticas dependientes del petróleo que los han llevado a sus problemas económicos y sociales y ahora dice que todo es culpa del “bloqueo” cuando desde hace más de 15 años están así ... no entiendo su posición,,1,,10,https://twitter.com/luchovelasco_11/status/1338113077049499649
David Portela,David Portela,2020-12-13T13:27:58.000Z,Si le molestara el hambre no apoyaría el socialismo. Todo régimen de dónde viene su ideología mató a más gente de hambre que la guerra el siglo pasado.,,,1,6,https://twitter.com/DavidPortela33/status/1338113433670197248
Anabela Arminio R.,Anabela Arminio R.,2020-12-13T13:33:11.000Z,El bloqueo solo afecta al país en la forma y medida que le interesa al gobierno. ¿ O Ud. no ha visto la gran cantidad de cosas carísimas que son importadas por enchufados?,,2,2,29,https://twitter.com/amar478/status/1338114748571938818
Calvo Samper Ospina,Calvo Samper Ospina,2020-12-13T14:19:25.000Z,"El bloqueo a un país afecta a todos, señora.",,3,,1,https://twitter.com/CalvoSamperO/status/1338126380953980930
Juan F Gonzalez C,Juan F Gonzalez C,2020-12-13T13:34:20.000Z,"No es sorpresa que 
@petrogustavo
 sienta afinidad con la dictadura de maduro, la sorpresa es la cantidad de gente que cree en las locuras de este sr.",,,1,30,https://twitter.com/Juanfgc/status/1338115035378438145
Rafael Vega,Rafael Vega,2020-12-13T13:44:52.000Z,"En ese país se expropiaron más de 1000 empresas, hay dictadura y persecución a la oposición hasta el punto de obligarlos a salir de su país. Malo el gobierno venezolano que es quien debe dejar el poder, no le haga creer a la gente de que existe una persecución en contra de ellos.",,1,4,15,https://twitter.com/rafaelvegazule1/status/1338117688200146947
