nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Sergio Fajardo,Sergio Fajardo,2021-06-09T15:39:33.000Z,,,,,,
Juan Alejandro,Juan Alejandro,2021-06-09T17:45:04.000Z,Esta muy loco usted. Se llama coherencia para que usted sepa siempre Petro ha pedido diálogo y manifestaciones pacíficas. Patético.,,7,3,82,https://twitter.com/JuanPalacio2018/status/1402683176997330951
Fernando Guerrero,Fernando Guerrero,2021-06-09T17:52:06.000Z,"Y represión con el ESMAD  y militarizar Bogota, y la familia construye do en humedales, y 33 mil arboles talados, e incumpliento de promesas y funcionarios en la cárcel...",,1,,6,https://twitter.com/Ferno9/status/1402684947274600454
Sísifo,Sísifo,2021-06-09T17:45:30.000Z,Ya estás buscando que te hagan la permanente en esos rizos... Bueh.,,,,9,https://twitter.com/NoEsMiArroba/status/1402683286363820032
@Bolchevickyy,@Bolchevickyy,2021-06-09T17:47:05.000Z,"Replying to 
@sergio_fajardo",,2,4,38,https://twitter.com/Bolchevickyy/status/1402683685778956289
Andrés Felipe,Andrés Felipe,2021-06-09T17:47:18.000Z,"Usted no es gracioso, no insista.",,1,2,60,https://twitter.com/PajaroAF/status/1402683736865525767
Eduard Bernstein,Eduard Bernstein,2021-06-09T17:48:26.000Z," Grande Sergio, ahora hay que leer a los fanáticos petristas justificando la tibieza de su mesías. ",,81,19,181,https://twitter.com/EduardBernstei1/status/1402684023395192835
Ludwig Hetfield,Ludwig Hetfield,2021-06-09T17:50:45.000Z,"Pufff muy huevón usted que se haya tragado ese cuento que estuvo convocando las agresiones en las manifestaciones, esta es pero perdido parce...",,1,,1,https://twitter.com/LudwigHetfield/status/1402684608194486273
diego alejandro,diego alejandro,2021-06-09T17:48:29.000Z,"es que lo único malo de Petro, es la polarización que tiene en el país, claramente no por su culpa, esto se da pues por su trascendencia y sus opositores, pero de no ser así, Petro seria quizas el mesías de esta nación, pero la verdad es q un gob petri seria muy dificil.",,1,,,https://twitter.com/ospinaceronale/status/1402684034661203968
jorge,jorge,2021-06-09T18:39:15.000Z,Umm no entendí,,1,,,https://twitter.com/makike3000/status/1402696810410426368
Rodrigo Vásquez 14,Rodrigo Vásquez 14,2021-06-09T17:48:31.000Z,El día q Fajardo llene una plaza pública con discurso real y sincero como lo hace Gustavo Petro Urrego ...le creo ...,,7,2,54,https://twitter.com/rodrigovasque14/status/1402684043875999744
Santiaguito,Santiaguito,2021-06-09T18:45:55.000Z,Llena una plaza y quedan empatados en las elecciones. La política cambió amiguitozdeja de vi ir en el siglo pasado,,5,,9,https://twitter.com/Santia_GOs/status/1402698490216595459
Maria del mar cajas,Maria del mar cajas,2021-06-09T17:49:36.000Z,"Si fuera así no hubiera dicho nada en los 6 minutos... a diferencia suya 
@petrogustavo
 es coherente, inteligente,  sensible y visionario 
Usted es demasiado cantinflesco como para compararse con él",,3,6,87,https://twitter.com/mariacajas/status/1402684318124851201
Turriago,Turriago,2021-06-09T17:49:45.000Z,"Se las da de chistoso. Ni profesor, ni comediante. Usted solo da lástima.",,,2,8,https://twitter.com/es_turry/status/1402684356611674117
Movimiento Naranja Cali,Movimiento Naranja Cali,2021-06-09T17:49:55.000Z,No puedo creer la estupidez que acabo de leer!! ,,5,24,997,https://twitter.com/naranja_cali/status/1402684397749428225
Andres Ortiz,Andres Ortiz,2021-06-09T17:55:20.000Z,De leer o escuchar?,,25,1,84,https://twitter.com/J_Ortiz7/status/1402685760046780418
LeoPanter848,LeoPanter848,2021-06-09T17:50:05.000Z,Como asi?? Tambien Petro es un corrupto del caso hidrohituango??,,,,37,https://twitter.com/LeoLeopardo48/status/1402684440103510018
martinlucca,martinlucca,2021-06-09T17:52:41.000Z,"La bodega del sr 
@petrogustavo
 es abrumadora…. Esto se va a ganar en la calle y no en la redes sociales, muy buen trino profe 
@sergio_fajardo
.
Este no ha llegado a la campaña aún y ya ha cambiado de parecer 17.583 veces, es un politiquero de 1era",,6,,7,https://twitter.com/martinlucca21/status/1402685094553346048
El garrafa,El garrafa,2021-06-09T18:00:46.000Z,Jajaja la bodega de Fajardo es muy graciosa,,1,1,34,https://twitter.com/alinpinpri/status/1402687129226989573
Caleño de izquierda,Caleño de izquierda,2021-06-09T17:54:01.000Z,Por lo menos Petro no se fajardio con una obra tan importante como Hidrotuango,,,,25,https://twitter.com/izquier031/status/1402685427799281667
NELSON RAMIREZ,NELSON RAMIREZ,2021-06-09T17:54:09.000Z,Si claro.......,,,,9,https://twitter.com/nelsonramirezso/status/1402685463031320578
ad astra,ad astra,2021-06-09T17:55:26.000Z,Es lo más estúpido que te he leído Fajardo. Con todo respeto pero te estás mofando de la posición que Petro plantea ante la actual coyuntura. Esa versión contestaria mediante la broma es la peor faceta que se te conoce,,2,11,265,https://twitter.com/skaven88/status/1402685786181541890
Favio Paz,Favio Paz,2021-06-09T18:20:44.000Z,"No amigo, no es una mofa; es demostrar con el ejemplo de quien ahora cambia de discurso; que nuestro camino, es y ha sido siempre el Necesitamos los colombianos; felicitamos a Gustavo, por su giro de 180 grados; por ir en Contravía de su propio apotegma.",,6,1,22,https://twitter.com/FavioPaz/status/1402692151885144064
Andrea Cruz,Andrea Cruz,2021-06-09T17:55:50.000Z,"Se debe al bajón de las encuestas 
Ahora posa de pacífico y amoroso..
La mayoría de Colombianos lo relacionamos a él y su escudero Bolivar con él paro vandálico.",,8,6,28,https://twitter.com/andrebogotacol/status/1402685885326499843
