nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Óscar Iván Zuluaga,Óscar Iván Zuluaga,,,,,,,
CapitanCo,CapitanCo,2021-08-12T17:42:59.000Z,"Dr. 
@OIZuluaga
, usted es una persona respetable, conoce al país y ha tenido una gran trayectoria. Sin duda podría ser una excelente fórmula vicepresidencial para llevar a 
@MariaFdaCabal
 a la Presidencia de la República",,9,4,18,https://twitter.com/atsibiru/status/1425875477445677064
andres felipe,andres felipe,2021-08-12T17:43:50.000Z,"Otro candidato más que quiere ganar votos de cuenta de Gustavo petro, invitando al miedo, ya en esto empieza otra vez Venezuela a ser importante, por favor sea auténtico, la cabeza no se hizo para cargar pelo.",,,4,46,https://twitter.com/dresfelo/status/1425875690314997765
Guillo Rios,Guillo Rios,2021-08-12T17:59:48.000Z,Antes que derrotar a su enemigo politico porque no derrota la corrupción de este pais? Sus amigos politicos se estan robando este pais a manos llenas por Dios y nada les pasa. De eso Uds son contundentes en campaña pero llegan al poder y se vuelven defensores mire al Sr Duque,,1,2,16,https://twitter.com/GuilloRios1/status/1425879706059120648
,,,,,,,,
,,2021-08-12T17:42:59.000Z,,,,,,https://twitter.com/atsibiru/status/1425875477445677064
,,2021-08-12T17:43:50.000Z,,,,4,46,https://twitter.com/dresfelo/status/1425875690314997765
ALFREDO SANTOS M.,ALFREDO SANTOS M.,2021-08-12T18:36:19.000Z,"Como dijo el Doctor ADLE, comenzó mal. Iniciar su campaña uniéndose a los que desconocieron el resultado del plebiscito es el peor error de su campaña naciente. No puede ser candidato del CD, Cuando más precandidato y eso si las réplicas de estos mensajes no lo hacen renunciar.",,,13,27,https://twitter.com/Alfredosantosm/status/1425888897125453828
YoNoVotéporClaudiaLópez!,YoNoVotéporClaudiaLópez!,2021-08-12T18:44:51.000Z,"No fue capaz de defender su montaje, perdió con santos y se escondió como un cobarde, nos abandonó, no hizo oposición, ahora pretende defender acuerdos de paz, está muy equivocado RESTA MÁS DE LO QUE SUMA, hágase a un lado y no estorbe más",,1,10,20,https://twitter.com/kamaleonxx/status/1425891043103420421
Uribista Perez !!!,Uribista Perez !!!,2021-08-12T19:12:18.000Z,Empezamos mal,,3,10,16,https://twitter.com/UribistaPerez/status/1425897951554150402
Humberto Martínez Montes,Humberto Martínez Montes,2021-08-12T19:24:57.000Z,No más tibios con el terrorismo,,2,3,14,https://twitter.com/Humbert24399121/status/1425901134456176640
EstebanR,EstebanR,2021-08-13T16:14:17.000Z,Abuelo Monsterrr! Yaaa a descansar,,1,1,23,https://twitter.com/Esteban33573559/status/1426215541631557632
yoly parra,yoly parra,2021-08-12T21:59:27.000Z,"#AZuluagaLeDigo mil Gracias! pero el turno es para otro candidato con convicción, fuerza, credibilidad receptiva, coherente, inteligente con buena aceptación de millones de colombianos. Ella es 
@MariaFdaCabal
 una mujer con sentido de pertenencia, trabajadora, amor por  !",,7,5,16,https://twitter.com/yoly04p/status/1425940018271563776
lค ຖiñค ໓iคຖค ฯ໐rkฯฯ,lค ຖiñค ໓iคຖค ฯ໐rkฯฯ,2021-08-12T22:15:18.000Z,"Si de verdad le importa colombia, hagase a un lado, apoye a quien tiene mas chance de ganar y no pretenda apoyo del pais para seguir protegiendo los acuerdos mal llamados de paz que tanto daño e impunidad le esta haciendo al pais y al que la mayoria dijo no",,1,4,15,https://twitter.com/patriciayorkyy/status/1425944006442237952
javier rodriguez,javier rodriguez,2021-08-12T22:17:44.000Z,"Doctor muchas gracias, pero su tiempo ya pasó. Por favor no le atraviese palos en la rueda de la candidatura de la doctora cabal",,3,1,8,https://twitter.com/javierr11825983/status/1425944620228300800
Alexander Arboleda M,Alexander Arboleda M,2021-08-12T22:23:14.000Z,"Vos no entiendes, la gente vota contra el centro democrático si no fuera petro, otro iría punteando, tu partido está lleno de familias de narcos y corruptos, son la escoria de la política, Duque es un mentiroso que los término de hundir y su líder Uribe es un imputado popular",,1,20,151,https://twitter.com/aarboledam/status/1425946003031666691
Paola,Paola,2021-08-13T12:35:16.000Z,"Exactamente, aquí la lucha es contra el Uribismo. Andan desconectados ",,,6,62,https://twitter.com/paola_paix/status/1426160421849927680
Maurovix ..Unidos por Colombia,Maurovix ..Unidos por Colombia,2021-08-12T22:41:43.000Z,"Usted debe retirar su candidatura, su momento ya paso ahora es el momento de 
@MariaFdaCabal
 y punto, usted tuvo la oportunidad de haber hecho una ferrea oposicion y paso por debajo de la mesa con santos, ahora en este momento crucial necesitamos alguien berraco no miedoso.",,6,4,7,https://twitter.com/solanm815/status/1425950652287668231
Mauricio Bedoya,Mauricio Bedoya,2021-08-13T01:10:15.000Z,"#AZuluagaLeDigo #CabalPresidente2022 , respetado doctor, su momento ya paso y no queremos que se respeten los acuerdos. Queremos que se respete el resultado del plebiscito. #NoMasPresidentesTibiosEnColombia",,,5,9,https://twitter.com/maurbedoya/status/1425988034546192387
Edguba3,Edguba3,2021-08-13T01:19:30.000Z,"A usted lo único que le digo que no se desgaste que usted no es el que va a derrotar a Petro el que lo va a derrotar a él tiene nombre y escúchelo o lealo  muy bien: 
@MariaFdaCabal
  así que porfavor no vaya se vaya a hacer cojer fastidio .",,10,,5,https://twitter.com/Edguba31/status/1425990363312017415
Arnulfo Agudelo,Arnulfo Agudelo,2021-08-13T01:27:45.000Z,"Dr.
@OIZuluaga
,elimine 16 consejerias;elimine Agencias y 170 entidades sin o duplicidad de funciones.Un datico certificado por la misma DIAN,se roban Un Billón semanalmente.Ahorita se están robando 70 mil millones del http://M.de las TICS y Ministra no renuncia.",,2,4,7,https://twitter.com/ArnulfoAgudelo/status/1425992437999226889
LEONELA,LEONELA,2021-08-13T01:46:19.000Z,"Santos III
Empezó mal muy mal.
Y se derrotará en las urnas al criminal petro, pero no con ud.",,2,3,6,https://twitter.com/LEO06076235/status/1425997108872687621
MILOUS,MILOUS,2021-08-13T02:07:08.000Z,"Usted fue el que llegó a atomizar. Y de una vez voló en átomos al decir que hay que respetar el ""acuerdo de paz"". 

Respételo usted y váyase atomizado para donde estaba cómodo mientras otros URIBISTAS se preocupaban por los problemas del país y por enfrentar a 
@petrogustavo
.",,3,2,20,https://twitter.com/milous3646/status/1426002348237856776
JUAN CAMILO MORALES,JUAN CAMILO MORALES,2021-08-12T17:26:00.000Z,o sea que los de la revolucion molecular atomizada son ustedes ?,,,,3,https://twitter.com/JUANKAMORA23/status/1425871200274747394
Hmns Rueda,Hmns Rueda,2021-08-12T17:26:44.000Z,"Venga, primero que sus amigos dejen de robar al país, esperamos pronunciamiento de los 70 mil millones embolatados de su partido",,,,1,https://twitter.com/eliseo_rueda/status/1425871384622796801
Carlos S,Carlos S,2021-08-12T17:26:59.000Z,"Si usted piensa que petro puede ganar, estamos mal!!!",,,,1,https://twitter.com/caliche64/status/1425871450775375881
Susana Garzon,Susana Garzon,2021-08-12T17:27:26.000Z,#SoyZ.,,,,1,https://twitter.com/SusanaGarzon3/status/1425871561844723720
Javier Oliver CT,Javier Oliver CT,2021-08-12T17:27:30.000Z,"De mal en peor 
@AlvaroUribeVel",,,,2,https://twitter.com/javieroliver_ct/status/1425871580974964745
Jose Garcia,Jose Garcia,2021-08-12T17:27:56.000Z,Hay que buscar otro Ñeñe que compre votos para el candidato de Uribe,,,,2,https://twitter.com/joseg33k/status/1425871687963316231
Ciudadana Responsable,Ciudadana Responsable,2021-08-12T17:33:24.000Z,"Con su apoyo al proceso de paz de Santos, USTED no será quien aglutine sectores.",,,1,17,https://twitter.com/Patrici34861262/status/1425873065339150345
Javier Vásquez,Javier Vásquez,2021-08-12T17:34:54.000Z,Jajajaja le tocó empezar por ahí en vez de empezar a proponer algo? Eso demuestra su discapacidad intelectual,,,,13,https://twitter.com/Javieraugusto76/status/1425873441056567301
fabian sanchez,fabian sanchez,2021-08-12T17:37:40.000Z,"La unica forma de que derroten a Petro es con la ayuda del narcotrafico,  asi como lo hicieron en el 2018",,,,1,https://twitter.com/fabiankmilo19/status/1425874138921590790
Andrés Osorio,Andrés Osorio,2021-08-12T17:38:45.000Z,"Tenemos que unirnos es contra los que nos llevan gobernando toda la vida y que nos tienen como uno de los países más desiguales, corruptos, con más pobreza y violentos del mundo. A esos son los que tenemos que sacar del poder. Son el cáncer de este país.",,,,3,https://twitter.com/Bogothano/status/1425874410544771075
diegofernadopatiño,diegofernadopatiño,2021-08-12T17:39:58.000Z,A los que se tiene que derotar con votos es a los políticos y partidos  tradicionales de siempre que usa el estado como caja menor,,,,1,https://twitter.com/diegofernadopat/status/1425874714392678409
César Zárate,César Zárate,2021-08-12T17:40:38.000Z,"Tiene razón, debemos unirnos, adhiera a 
@MariaFdaCabal",,,,4,https://twitter.com/cezarango/status/1425874882248724482
Dudodetodo,Dudodetodo,2021-08-12T17:43:43.000Z,"Ustedes ya lo derrotaron con plata mafiosa, falseando E-14 y en la registraduría no hable .",,,,3,https://twitter.com/dudodetodo/status/1425875660350894085
Alan,Alan,2021-08-12T17:45:42.000Z,"Jajajaja PAYASOS 
@petrogustavo
 no ha GOBERNADO DURANTE 20 años a gobernado 
@AlvaroUribeVel",,,,4,https://twitter.com/Alan58102357/status/1425876157967257603
Stella..,Stella..,2021-08-12T17:46:43.000Z,Siga usted con sus acuerdos con las FARC ..yo sigo con la cabal...,,,1,2,https://twitter.com/maria_lloreda/status/1425876415052980230
@betsyluz,@betsyluz,2021-08-12T17:47:50.000Z,"Una su átomo al de 
@MariaFdaCabal
  y  verá q las mayorías la seguimos  ",,,,1,https://twitter.com/betsylina21/status/1425876694355914758
liliana armela n,liliana armela n,2021-08-12T17:55:22.000Z,"#AZuluagaLeDigo que María Fernanda Cabal es la candidata de las bases del CD, unirse a ella sería su mejor opción!",,,,9,https://twitter.com/liarno62/status/1425878593108955140
E M P R E N D E R 2021,E M P R E N D E R 2021,2021-08-12T17:55:42.000Z,"También es conciente de que muchos CD y Derecha estamos con Nieto y Cabal? 

Van a hacer una consulta Interna? 

Considere revisar la postura sobre los acuerdos de ""paz"" ... *

#PapeletaParaRevocarLaJEP",,2,,6,https://twitter.com/ColCuarentena/status/1425878676395147269
Didier Jr,Didier Jr,2021-08-12T18:07:07.000Z,Jajajaja hpt asalariado y somos de derecha.,,,,1,https://twitter.com/KingDidierMan/status/1425881550860820482
Martha Gallego Montoya,Martha Gallego Montoya,2021-08-12T17:56:46.000Z,El siempre gana en las encuestas y pierde en la votaciones.,,,3,9,https://twitter.com/marthamonita/status/1425878942616014859
Silva520luis,Silva520luis,2021-08-12T17:58:26.000Z,La derecha se la esta poniendo fácil al hampon de petro con tanto candidato,,,,1,https://twitter.com/silva520luis/status/1425879364802121728
MARCO CASTRO MARQUEZ,MARCO CASTRO MARQUEZ,2021-08-12T18:03:33.000Z,"saludos candidato pero uno de las cosas que hay que derrotar en este país es la rosca paisa y que haya equidad para todas las regiones debe acabarse eso que todo es para antioquia y el resto del país  son migajas , santiago de cali necesita metro",,1,,,https://twitter.com/Castromarquezm/status/1425880652520493056
Alfonso Saldarriaga,Alfonso Saldarriaga,2021-08-12T22:29:54.000Z,"Para eso necesitan tener más empresarios, más propuestas y menos protestas, es decir: dejar de ser tan mamertos. Esa ciudad va de culos por su mamertada",,,,2,https://twitter.com/AlfonsoAsaldar/status/1425947680870735873
Gustavo Arango,Gustavo Arango,2021-08-12T18:07:13.000Z,"Dr Oscar apoyen a 
@MariaFdaCabal
 ...
Ud ya tuvo su oportunidad, desafortunadamente lo robaron, pero la opción es la Dra. 

Ademas con esa perla de aceptar los acuerdos... la embarró",,1,,7,https://twitter.com/gustarano/status/1425881573858193413
Juan Pablo Narvaez,Juan Pablo Narvaez,2021-08-12T18:10:11.000Z,¿O con la compra de botos?,,,,4,https://twitter.com/juanpanarvae/status/1425882320268140544
Ricardo Ruge,Ricardo Ruge,2021-08-12T18:14:15.000Z,"Debemos unirnos para derrotar a estos malditos políticos como usted que nos tienen sumidos en la pobreza y la corrupción, vamos a darle la oportunidad a petro que nos saque de este pantano en que nos tiene el matarife..",,,,1,https://twitter.com/ruge_ricardo/status/1425883345469247496
albertourp,albertourp,2021-08-12T18:14:33.000Z,"Por la vía de la Democracia nunca llegara al poder, lo hará con mentira, odio, manipulando al pueblo, movilizando ordas de delincuentes para destruir y atacar el pueblo.",,1,2,1,https://twitter.com/albertourp1/status/1425883418294984708
javo21,javo21,2021-08-12T18:17:39.000Z,Jajaja se tiene mucha fe paraco HP .....,,,1,2,https://twitter.com/javiermurcia11/status/1425884199727292419
ALEGON‍,ALEGON‍,2021-08-12T18:26:03.000Z,El problema no son las ideas de izquierda en Petro o sus seguidores de izquierda... El problema está en qué los que aparentemente son de derecha defiendan las mismas ideas Anti patriotas.,,,3,2,https://twitter.com/para_cristo/status/1425886311857205248
Jampier Meneses.,Jampier Meneses.,2021-08-12T18:42:56.000Z,Usted lo único que a podido vencer en su vida es la Justicia Colombiana porque es su amiga y no lo juzga como debería corrupto.,,,,7,https://twitter.com/Juan01Pedro/status/1425890561396035584
