nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
,,2021-01-06T00:30:49.000Z,De dónde saca que es comunista? Ud es una paramilitar y nadie le dice nada !!,,1,,50,https://twitter.com/LuisLiopt/status/1346615166264369154
Thaliana,Thaliana,2021-01-06T02:21:43.000Z,"Queee? Esta ciego? Es comunista, asesino y guerrillero",,2,1,1,https://twitter.com/ValleMesa7703/status/1346643076085854209
Ana María U.,Ana María U.,2021-01-06T00:31:09.000Z,"Qué horror de mujer, de madre, de ciudadana. Su odio no me representa en el congreso, ni como Colombiana.",,27,15,597,https://twitter.com/Annieuse/status/1346615252243390464
Vox Populi,Vox Populi,2021-01-06T00:32:06.000Z,Tranquila que a usted le van a dar asilo en La Modelo o La Picota.,,6,5,182,https://twitter.com/TiteresAnti/status/1346615491264131072
The Glorious,The Glorious,2021-01-06T01:55:57.000Z,"@TiteresAnti
 y a ti te lo dieron en una tanqueta del ESMAD ",,1,,,https://twitter.com/lockede1992/status/1346636593390563330
Jorge Ovalle,Jorge Ovalle,2021-01-06T00:32:36.000Z,"Que insensata, fue amenazado por los mismos políticos tradicionales que compran votos en Bogotá, y presionan funcionarios para no quedar sin contratos.

Esa gente son los sicarios y Colombia lo sabe.",,3,3,36,https://twitter.com/JorgeOvalleB/status/1346615617315602432
Henbertcito,Henbertcito,2021-01-06T00:32:46.000Z,"Y esta fue la amenaza que le enviaron, casi lo matan del susto",,57,13,100,https://twitter.com/Henbertcito/status/1346615658952482818
Fer tweetero,Fer tweetero,2021-01-06T12:05:20.000Z,,,,,11,https://twitter.com/FernandoArangu9/status/1346789948859494402
Camilo Arr’,Camilo Arr’,2021-01-06T00:34:22.000Z,"Cuando se ríe y critica a alguien por salir del país tratando de proteger su vida. 

Muestra la clase de persona que es... 

Que triste ser así de malo. Dicen que se acumula... cuantas vidas adelante pagará el karma",,1,9,195,https://twitter.com/camines_/status/1346616059466559490
LUIS E. BELTRÁN,LUIS E. BELTRÁN,2021-01-06T00:34:45.000Z,"Demasiada basura en esa cabezota...la suya señora ""senadora"", perteneciente al C. ""Democrático"".",,2,10,106,https://twitter.com/ernestbelt/status/1346616155872571393
C H E O,C H E O,2021-01-07T03:01:18.000Z,Se dice centro demoniaco amigo luis,,,,3,https://twitter.com/cheoanota/status/1347015423947141121
adriana maria ortega,adriana maria ortega,2021-01-06T00:35:47.000Z,"No hay derecho, con falacias... Con esto, vagamundiaron  el derecho al asilo,Canadá reevalue está desicion",,6,,1,https://twitter.com/Lati34Ortega/status/1346616418880675843
FELIPE VELEZ,FELIPE VELEZ,2021-01-06T00:36:34.000Z,"Tranquila que usted se va tener que exiliar en Brasil, para el 2022, cuando el centro Delincuencial (CD) pierda en las elecciones y usted no tenga la valentía de pagar por sus crimenes",,1,3,36,https://twitter.com/anfevelez/status/1346616614666559489
metal addict,metal addict,2021-01-06T00:38:13.000Z,"Esta vieja se gana mas de 30 millones mensuales  que pagamos  de nuestros impuestos por pasarsela diciendo  "" comunistas  esto , comunistas lo otro , "" la guerra fria termino en lo 90  vieja bruta",,1,,28,https://twitter.com/possu007/status/1346617031253229577
Da Vinci,Da Vinci,2021-01-06T00:43:41.000Z,"Se fue porque lo iban a matar, lo que no pueden hacer los líderes sociales, que han pedido protección y que han muerto a manos de criminales. Por su culpa y la culpa del gobierno.",,7,2,62,https://twitter.com/Da_VinciNea/status/1346618406305488897
Trinosaurio Rex,Trinosaurio Rex,2021-01-06T00:56:18.000Z,Lleva 3 años viviendo en Canadá por una amenaza del 2011 jajajaja,,2,,5,https://twitter.com/guanjuaido/status/1346621579241861120
Soy el Jefe,Soy el Jefe,2021-01-06T00:47:53.000Z,"Los progresistas queremos riquezas, pero para todos.  No como ustedes que solo es acumular y acumular incluso usando el poder, el narcotrafico, el paramilitarismo y otras técnicas.",,9,6,52,https://twitter.com/soy_el_jefe/status/1346619464142508032
antimamertos 1.2,antimamertos 1.2,2021-01-06T02:11:01.000Z,"Gran hpta trabaje que nada es regalado, otro que está esperando al estado benefactor",,27,2,4,https://twitter.com/mello1301/status/1346640383435034630
eduard,eduard,2021-01-06T00:48:03.000Z,"AAA pero mientras guaido estaba refugiado aquí en el país mientras se estaba robando 40 millones de dólares, de eso si no dicen nada",,,1,20,https://twitter.com/bocasoy/status/1346619503589908483
Barto Lomeo,Barto Lomeo,2021-01-06T00:56:47.000Z,"Cuba podría haber sido un Canada en pequeño, pero IJUEPUTAS IGNORANTES como ud le han hecho un bloqueo económico por 60 años. De milagro están vivos.

Lo curioso es q uds nunca han dejado al socialismo demostrar q no funciona, y por el contrario le han hecho bloqueos y embargos.",,1,,4,https://twitter.com/FelloGonza/status/1346621702915174406
chigo,chigo,2021-01-06T00:58:54.000Z,FARC están hace rato allá,,2,,2,https://twitter.com/chigo58336410/status/1346622234190897152
Luis Alberto Zuluaga,Luis Alberto Zuluaga,2021-01-06T00:58:57.000Z,"¿Y quién puede comprobar que realmente hubo una amenaza en el 2011? O solo con decir que lo amenazaron como lo hacen con las ""águilas negras"" le dan casa, carro blindado, beca y escoltas.",,22,3,18,https://twitter.com/LuisAlbertoZul6/status/1346622249453948929
Mr D P,Mr D P,2021-01-06T04:58:56.000Z,"Para su información el proceso de asilo lleva mucho tiempo, análisis, y sobretodo un país como Canadá, si este país lo otorgo es porque si veía amenazas creíbles y demostrables.",,3,1,13,https://twitter.com/mrddp12/status/1346682642075426816
El tal,El tal,2021-01-06T01:00:32.000Z,"No se soprende de la violencia y amenazas de este maizal, se soprende del país que le dio asilo al tipo...  En verdad usted es una desgraciada infeliz ",,1,,1,https://twitter.com/pechofriocruz/status/1346622644213473282
#ColombiaEnDictadura #GolpeALaDemocracia #6402,#ColombiaEnDictadura #GolpeALaDemocracia #6402,2021-01-06T01:00:59.000Z,"Ud es bruta o se hace? No debería colombia tener nacionales pidiendo asilo político, en ninguna parte del mundo, pero esto prueba q quienes nos gobiernan, nos están matando, por no pensar cómo Uds, y esto se llama dictadura. “Que supone uno”?",,,,3,https://twitter.com/melondono/status/1346622760156618753
Manuel Oviedo,Manuel Oviedo,2021-01-06T01:09:32.000Z,"Imbécil, en Canadá tenemos un sistema federal donde se maneja la salud, educación y retiros de manera socialdemócrata en su mayoría.
No sabe sobre lo que escribe y sí es un ridículo internacional. Más bien prepárense, porque están sólitos internacionalmente y por idiotas.",,3,,9,https://twitter.com/manuoviedo15/status/1346624910970540032
Lobsang Yusti,Lobsang Yusti,2021-01-06T01:09:58.000Z,"Vea pues, amenazan a un ciudadano y está fanática compradora de votos no se altera por eso sino por sus delirios de Guerra Fría",,,4,22,https://twitter.com/Lobsang96956948/status/1346625019338776576
ALVARO MOLINA PAEZ,ALVARO MOLINA PAEZ,2021-01-06T01:12:12.000Z,Descaro de los patrocinadores de los paracos q matan en nombre de otros q. O ponen la cara! Que pagan justicia a medida! Q compran votos... que han creado@grandes fincas ganaderas y palmicheras desplazando! Los conoce?,,,8,45,https://twitter.com/ALVAROMOLINAP/status/1346625582159851520
Ariel,Ariel,2021-01-06T01:12:46.000Z,"@MariaFdaCabal
 en qué país viven sus hijos ??",,1,4,69,https://twitter.com/ariel46664/status/1346625722857758721
Ariel,Ariel,2021-01-06T01:15:54.000Z,"Conchudo es ir a llamar a "" Papi y Mami "" para que al bebé de la casa no sea demandado por pegarle a la gente borracho ??",,1,8,108,https://twitter.com/ariel46664/status/1346626512653582336
Black Sicklebill,Black Sicklebill,2021-01-06T12:46:30.000Z,Casi matar gente borracho*,,1,1,8,https://twitter.com/BSicklebill/status/1346800306970103809
chigo,chigo,2021-01-06T01:16:13.000Z,"Nade, eso mismo han hecho IDEÓLOGOS de FARC hace 20 años no, es nuevo",,1,,,https://twitter.com/chigo58336410/status/1346626591753990144
Objeción Conciencia,Objeción Conciencia,2021-01-06T01:16:59.000Z,"¿Por qué los socialistas buscan asilo en países capitalistas, de alto estatus de vida, en vez de irse a Cuba, Venezuela, Rusia o China? ¿El comunismo para el pueblo? ¡Hipócritas!",,73,30,73,https://twitter.com/OBJECONCIENCIA/status/1346626784033435648
centurion,centurion,2021-01-06T01:26:08.000Z,El comunismo es la propia plaga sanguijuela.,,7,3,7,https://twitter.com/centurionlibre/status/1346629089369665536
Björn Asmussen,Björn Asmussen,2021-01-06T01:18:09.000Z,"En Canadá saben que con el 
@CeDemocratico
 y sus paracos, el muchacho corre peligro.",,,7,18,https://twitter.com/AsmussenBjorn/status/1346627078012215296
Objeción Conciencia,Objeción Conciencia,2021-01-06T01:18:38.000Z,"Petro es un depredador comunista -burgués- que ha pasado la vida lucrándose del estado y los narcos, apalancado en políticos como Santos y la justicia de izquierda. ¡Gran negocio en nombre de los derechos del pueblo!",,81,17,52,https://twitter.com/OBJECONCIENCIA/status/1346627199865139206
R Alonso Silvestre,R Alonso Silvestre,2021-01-06T01:28:14.000Z,Mínimo ud lo mandó a amenazar,,,1,10,https://twitter.com/Rasilves/status/1346629615817732097
Gustavo,Gustavo,2021-01-06T01:34:35.000Z,"Este almenos puede pedir un ASILO, su Marido es tan Malo, que ni en Cuba lo reciben, les expropia la isla.",,,4,31,https://twitter.com/Gustavo21051022/status/1346631214120251395
Voy con el Pacto HistóricoAntiuribista%,Voy con el Pacto HistóricoAntiuribista%,2021-01-06T10:55:43.000Z,Siempre me pregunto porque los uribistas son tan brutos y nunca doy con una respuesta que me convenza.,,3,,9,https://twitter.com/borsanval/status/1346772429742481409
Cindy V,Cindy V,2021-01-06T01:42:47.000Z,"Que conchudo, debió quedarse en Colombia a esperar a que lo maten las águilas negras, obvio.",,1,,24,https://twitter.com/Cindy_Varmu/status/1346633277289988097
MAMERTUIT,MAMERTUIT,2021-01-06T01:42:58.000Z,"Nauseabunda estudie!! el comunismo desapareció hace mas de 30 años!!
Y ""conchudos"" Uds. viviendo de mis impuestos, juntándose con paramilitares y robando tierras a los campesinos
CONCHUDA!!",,4,6,40,https://twitter.com/Mamertuit/status/1346633324157153280
Emer,Emer,2021-01-10T14:58:36.000Z,¡Conchuda hpta es lo que es!,,,,,https://twitter.com/art3mer/status/1348283103626801153
CPCardozo,CPCardozo,2021-01-06T01:56:37.000Z,"Conchuda que compro votos para sentarse en el senado a robar y a despojar tierras, que incoherente esta sinvergüenza..",,1,20,78,https://twitter.com/cielope021/status/1346636758612639746
Angela&YesidOficial,Angela&YesidOficial,2021-01-06T12:03:46.000Z,"La conchuda que compró una curul con dólares dudosos se llama Angela María Robledo.
O es que se le olvida que la habían sacado del congreso, pero que gracias a otro fraudulento fallo de una corte, ella volvió?
Conchuda la #IzquierdaCorrupta y criminal, con curules compradas!",,1,1,2,https://twitter.com/AngelayYesid/status/1346789552518803458
Sergio,Sergio,2021-01-06T01:57:21.000Z,El punto es que les toque pedir protección e irse a otro país mientras ustedes están como pez en al agua.... Dá que pensar no,,,30,682,https://twitter.com/ElDelaBudweiser/status/1346636943141056518
MELO (carmelo) LAMMES,MELO (carmelo) LAMMES,2021-01-06T02:03:21.000Z,"Que hacemos con tanta profundidad en un twéet.
Pero hablando seriamente que estupidez la suya y la de los que le aplauden todas esas idioteces, el punto no es si el asilo fue por amenazas si no por donde se asilo.
Y los hijo del matarife con renta pro zona franca y todos callados",,,3,11,https://twitter.com/LammesMelo/status/1346638456148140032
Eugenio Arenas,Eugenio Arenas,2021-01-06T02:19:25.000Z,"Pues si lo que quería la ultraderecha con sus amenazas era enviarlo a Cuba, se quedaron mamando. Además, para su claridad y para sacarla un poquito de su extrema ignorancia, progresismo no es lo mismo que comunismo.
¡Estudie, vaga!!!",,,3,19,https://twitter.com/arenas_eugenio/status/1346642499683676162
Jaime H. Mejía,Jaime H. Mejía,2021-01-06T02:27:37.000Z,Pobre niño apenas sepan la calidad del papá.,,,1,8,https://twitter.com/jaimehmejia/status/1346644559569317895
1colombiamivida Natalia #SoyUnPelagato,1colombiamivida Natalia #SoyUnPelagato,2021-01-06T02:43:19.000Z,"Parece que en Canadá reciben toda la escoria, que con escusa de amenazas pide asilo, deberían investigar que clase de siniestros personajes son, antes de concederles asilo, si no estoy mal allá se encuentra un criminal del cartel de la toga",,1,2,4,https://twitter.com/1colombiamivida/status/1346648510222000130
Miguel Angel,Miguel Angel,2021-01-06T04:19:05.000Z,"Ya va uno entendiendo porque 
@petrogustavo
 saca notas falsas donde lo amenazan, para ayudarle a sus hijos y compinches a pedir asilo en países capitalistas.",,1,,,https://twitter.com/MAMM1347/status/1346672611682643975
El cazador,El cazador,2021-01-06T16:38:31.000Z,"Y así un tanto marica , hablando de un país que si le da bienestar a cualquiera que lo necesite...",,1,,,https://twitter.com/oslpa/status/1346858697310560259
DARKSIDE,DARKSIDE,2021-01-06T04:54:30.000Z,"No más marik !!

En serio ya Ya yaoo ya yaya

Este equino y sus",,,3,13,https://twitter.com/Hardman007gmai2/status/1346681526730293253
John A. Humphries Berrio,John A. Humphries Berrio,2021-01-06T05:01:37.000Z,"Pues en Cuba, playas paradisíacas si hay, como también, gente culta, respetuosa y muy humana. Tres aspectos de los cuales usted carece.  Fin!",,,2,5,https://twitter.com/Johnhumphries88/status/1346683315814858755
carlos ariza,carlos ariza,2021-01-06T05:49:28.000Z,"Cual comunista? Definitivamente usted dañó la teoría de que las personas frentonas, son inteligentes.",,1,1,12,https://twitter.com/martinsincelejo/status/1346695358018179073
Fabian Lizarazu,Fabian Lizarazu,2021-01-06T05:52:42.000Z,"2000 mil fav por un comentario de niño de pre kinder con todo respeto ""Cenadora"" pero por eso estamos como estamos.",,,2,30,https://twitter.com/fabianlizarazu/status/1346696173806100482
Peque,Peque,2021-01-06T07:21:36.000Z,Cuando el asco y una enfermedad mental se juntan en una sola palabra. Uribismo.,,,1,29,https://twitter.com/PerroDeLaCalle_/status/1346718543971307521
Juan,Juan,2021-01-06T08:46:07.000Z,"Completamente de acuerdo, muy difícil encontrar persona mas despreciable que la cabal. 
Y ya que lo grita a voz en cuello me gustaría pedirle a la señora cabal una explicación de que es comunismo.
Estoy seguro que no tiene ni idea de lo que es",,,1,14,https://twitter.com/Juanitko975/status/1346739815312740352
charlie vidal,charlie vidal,2021-01-06T10:07:26.000Z,"De verdad usted esta enferma señora, busque ayuda profesional con urgencia.",,,,14,https://twitter.com/charlievidal2/status/1346760277950427136
...,...,2021-01-06T10:36:03.000Z,"Para mi fueron vomo siempre las águilas negras, eso no falla he aquí la prueba",,,3,9,https://twitter.com/Ricrod18/status/1346767479901716480
Aureliano,Aureliano,2021-01-06T10:51:10.000Z,En Canadá usted y el resto de su bandola sí pagarían impuestos cínica,,1,3,67,https://twitter.com/1JeanValjean2/status/1346771282562584577
OR,OR,2021-01-06T10:51:21.000Z,Algo así ...,,1,3,4,https://twitter.com/osmanramirez25/status/1346771329987588097
osdarkneds,osdarkneds,2021-01-06T11:10:14.000Z,"Que conchido debió despropiar alguna tierra para ser un senador de ""bien"" ",,,4,59,https://twitter.com/osdarkneds/status/1346776080909271042
Sonia.A.Hinestroza.P. Petrista.,Sonia.A.Hinestroza.P. Petrista.,2021-01-06T19:31:16.000Z,"Eso mismo me he preguntado porque a ninguno de ellos? 
@CorteSupremaJ
 @IntlCrimCourt
 @CourPenaleInt
 @CorteIDH",,,,,https://twitter.com/soniaamparoh/status/1346902170050957314
yami,yami,2021-01-06T11:16:54.000Z,Señora lea para que salga de la ignorancia...países como Canadá y Francia tienen políticas de salud y educación socializada..que mamertos ...NO SEA VAGA ESTUDIE,,,,3,https://twitter.com/anakinjaguar/status/1346777759994028033
Hector Olivares,Hector Olivares,2021-01-06T11:19:43.000Z,"Cada vez que usted escribe algo se nota la escasez intelectual. El tema es que nadie debería pedir asilo por temas de amenazas, pero estamos en Polombia donde el Gob y autoridades parecieran que están de acuerdo con tantos asesinatos y masacres.",,,3,4,https://twitter.com/HectorO40135519/status/1346778469464735749
Estoicista,Estoicista,2021-01-06T11:20:59.000Z,"No me gusta Petro pero hay que reconocer que no es comunista. De hecho tiene una visión capitalista de la sociedad, lo que critica y cuestiona, como la mayoría de los ciudadanos, es que la riqueza se concentra en unos pocos: latifundistas, políticos y contratistas corruptos al +",,10,40,357,https://twitter.com/SanchezFlori1/status/1346778786424115201
José Maldonado,José Maldonado,2021-01-06T13:22:35.000Z,Así llego el comandante Chávez a engañar incautos hoy Venezuela ni se ve x lo sumergida q esta en pobreza y comunismo,,10,1,3,https://twitter.com/JosMald76045396/status/1346809389806727168
Palmer,Palmer,2021-01-06T11:25:43.000Z,¿También lo van a sacar de Canadá?,,,4,50,https://twitter.com/palmer1505/status/1346779977728094214
