nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
María Fernanda Cabal,María Fernanda Cabal,,,,,,,
@El Titi-spinoza,@El Titi-spinoza,2021-04-07T16:44:06.000Z,"Replying to 
@MariaFdaCabal
 and 
@petrogustavo",,1,,16,https://twitter.com/PolomboDe/status/1379837398075510790
Pao sin tips.,Pao sin tips.,2021-04-07T16:45:14.000Z,Por culpa de gente como está senadora es que en Colombia los pobres y clase media tienen que pagar impuestos mientras los mega ricos no.,,,9,16,https://twitter.com/escriboconlaizq/status/1379837683242037250
,,2021-04-07T16:44:06.000Z,,,,,,https://twitter.com/PolomboDe/status/1379837398075510790
,,2021-04-07T16:45:14.000Z,,,,9,16,https://twitter.com/escriboconlaizq/status/1379837683242037250
El Critico,El Critico,2021-04-07T16:45:26.000Z,Así es. Miren la historia. Por eso en Colombia no queremos un socialismo y que en campaña lo disfracen de pacto Histórico.,,1,,1,https://twitter.com/racio08/status/1379837734903242753
ScareJuls,ScareJuls,2021-04-07T16:45:37.000Z,"Nunca había visto un tuit que tuviera tantas estupideces juntas, con razón usted cree que la Unión Soviética sigue existiendo y que la masacre de las bananeras sólo fue un cuento",,1,9,282,https://twitter.com/julianfranco69/status/1379837779442565120
Juan Fdo Echeverri,Juan Fdo Echeverri,2021-04-07T16:46:51.000Z,Es que si es muy bruta carajo!!!,,1,,7,https://twitter.com/JuanEch62391322/status/1379838089166733315
Ariel,Ariel,2021-04-07T16:47:18.000Z,"@MariaFdaCabal
 tomando sus palabras le pregunto , qué diferencia hay de buscar el apoyo de paracos y corruptos para llegar al poder y después resultar con falsos positivos para mantenerse ?
Inepta !!!!",,2,2,67,https://twitter.com/ariel46664/status/1379838202756935684
Ambar Ponte,Ambar Ponte,2021-04-07T17:38:11.000Z,ESA CARTILLA DE FECODE ! Repite mucho PARACO !,,2,,3,https://twitter.com/ambar_ponte/status/1379851010261319683
Bittar Barbara,Bittar Barbara,2021-04-07T16:47:34.000Z,Esta documentado #Hitler tenía sangre judía Su padre fue producto de la relación de su abuela con un Rothschild la señora trabajo de criada en casa de esta familia en Austria Al quedar embarazada fue despedida y se le asignó pensión y casa  Nos imaginamos porque !,,3,2,5,https://twitter.com/barbara_bitar/status/1379838269668663300
Andretti,Andretti,2021-04-07T16:48:40.000Z,"Jajajajaja tratando de comparar el nazismo con el socialismo jajajjajajaja! Recordemos otro de los apuntes de 
@MariaFdaCabal",,2,,2,https://twitter.com/AndrettiGo/status/1379838547507699714
CPCardozo,CPCardozo,2021-04-07T16:49:07.000Z,"Y cual es la diferencia con corruptas que llegan al poder comprando votos, para luego proponer proyectos para despojar campesinos, Cínica....",,1,11,52,https://twitter.com/cielope021/status/1379838661559193601
Henry Chica pacheco,Henry Chica pacheco,2021-04-07T16:50:38.000Z,Hitler compro votos o no,,1,1,6,https://twitter.com/e9daa1c40e864e2/status/1379839043157000193
Viktor Contreras,Viktor Contreras,2021-04-07T16:50:49.000Z,"Pero los cristianos también erradicaron con violencia pensamientos distintos, el capitalismo con violencia atacó y mató a personas ejemplo la guerra de Vietnam. Señora. Las guerras ideológicas siempre han existido. Piense un poquito por favor",,7,4,101,https://twitter.com/viktorclop/status/1379839087889289217
Viktor Contreras,Viktor Contreras,2021-04-07T17:26:57.000Z,Vietnam del sur (capitalista) antes de la unificación de las dos Vietnam genera un golpe de estado esto financiado tanto económico como militar por estados unidos en virtud de la Doctrina Truman y la Teoría del dominó (contener la expansión del comunismo). Les parece diferente?,,1,1,19,https://twitter.com/viktorclop/status/1379848181526233093
nelly Bambague,nelly Bambague,2021-04-07T22:06:23.000Z,,,,,4,https://twitter.com/omen289866/status/1379918502950232071
Doña Yohanna,Doña Yohanna,2021-04-07T16:56:34.000Z,"Confirmo y certifico como Vzla q sufrió el comunismo ""de las ideas revolucionarias del comandante Chávez"" q tanto idolatra Petro y confesó en la entrevista con 
@VickyDavilaH
Un lobo vestido d oveja, con hechos terroristas!

A los bobos les lava el cerebro, xq no tienen cacumen",,5,,3,https://twitter.com/YohaSuspended/status/1379840533821059072
OPINANDO. ANDO,OPINANDO. ANDO,2021-04-07T18:00:21.000Z,"Yo no soy venezolano.
Tampoco he vivido allá.

Pero el PUEBLO venezolano no vivió mal. Durante el gobierno de Hugo Chávez.

La gente de escasos recursos económicos.
Surgió de la pobreza, en el que la sumió los gobiernos anteriores.",,4,,3,https://twitter.com/BelenoCampis/status/1379856588425596928
Mara,Mara,2021-04-07T16:57:43.000Z,"Es muy difícil explicarle a un terrorista hampón, que saltó de un grupo terrorista, al congreso",,,,7,https://twitter.com/MaraECrdenas1/status/1379840825035722760
Jorge Ovalle,Jorge Ovalle,2021-04-07T16:58:04.000Z,"Senadora 
@MariaFdaCabal
 y usted qué opina de ser acusada de financiar organizaciones Neo Nazis en Bogotá, específicamente el Movimiento de Restauración Nacional.",,,4,15,https://twitter.com/JorgeOvalleB/status/1379840914705764361
Nicolás E. Angarita,Nicolás E. Angarita,2021-04-07T16:59:15.000Z,"El nazismo es socialismo, los países donde se ha aplicado los estudios liberales de la Escuela Austriaca son los más desarrollados del planeta, Singapur, Nueva Zelanda. El nazismo y comunismo colectivistas de izquierda. Totalitarismo socialista según la escuela austriaca.",,77,22,55,https://twitter.com/neangarita/status/1379841211708665856
Pablo Silva,Pablo Silva,2021-04-07T17:04:52.000Z,"No son lo mismo, el resultado de sus acciones es el mismo, pero su ideología es antagónica, es como decir que nuestra extrema derecha o sea ustedes son lo mismo que nuestra extrema izquierda, el petrismo,sus resultados son los mismo, su ideología antagónica 100%.",,4,1,8,https://twitter.com/PabloSi16338580/status/1379842624690003969
Caballero de Hallownest ن,Caballero de Hallownest ن,2021-04-07T17:29:20.000Z,"Cual extrema derecha? En Colombia no hay ni siquiera derecha, ya va haber extrema derecha.",,1,,,https://twitter.com/ZenSiete00/status/1379848779889836038
El Manco,El Manco,2021-04-07T17:13:35.000Z,"Tratando de analizar el tuit de Esta señora , yo creo que tendría mucha lógica si comparamos al Uribismo con el chavismo, ambas uns secta de fanáticos sin ganas de soltar los poderes que se ganaron a punta de corrupción y amparados por las fuerzas Militares",,3,,25,https://twitter.com/juanurregomanco/status/1379844815832150023
Alejandro Sajhle H.,Alejandro Sajhle H.,2021-04-07T17:23:54.000Z,"El uribismo no guarda relación con el chavismo, el petrismo por su parte comparte ideología, diplomacia y sistémica económico",,14,,3,https://twitter.com/sajhle/status/1379847412089548804
JuanDa MoCa,JuanDa MoCa,2021-04-07T17:16:24.000Z,"Los NAZIS son lo mas parecido al CD y a VOX.
Cabal le oculta a su base de seguidores incultos que la URSS fue la que lo proporcionó las derrotas definitivas a Hitler. Sin la URSS no se hubiera derrotado al fascismo.
El NAZISMO era hiper capitalista!",,32,26,335,https://twitter.com/juandcartagena/status/1379845525009276934
AquinoTicias,AquinoTicias,2021-04-07T17:18:46.000Z,"Replying to 
@MariaFdaCabal
 and 
@petrogustavo",,1,10,277,https://twitter.com/AquinoTicias1/status/1379846120927547401
Daniel Timaran,Daniel Timaran,2021-04-07T18:24:22.000Z,Esa mujer alguna vez abriría un libro ,,2,,16,https://twitter.com/timaran_dt/status/1379862630832222208
Cesar Coll,Cesar Coll,2021-04-07T17:19:02.000Z,"Dra 
@MariaFdaCabal
 Genocidio de manos de los Socialistas Nazis, que de no ser porque el Gr Eisenhower ordeno fuese documentado hoy la M H del holocausto fuese una historia reescrita, que en eso si son expertos los Comunistas, socialistas o como se hacen llamar ahora Progresistas.",,2,34,40,https://twitter.com/cecollm/status/1379846189915463686
Carlos Abdul Valero,Carlos Abdul Valero,2021-04-07T17:21:54.000Z,"Las cruzadas? El genocidio en el gobierno de Uribe con sus 6,400 falsos positivos?...día a día escribiendo idioteces...",,1,1,15,https://twitter.com/Valeroabdul/status/1379846908844326922
farid,farid,2021-04-07T17:42:49.000Z,"Exactamente 
@MariaFdaCabal
Es lo que a hecho Álvaro Uribe Vélez en sus gobiernos para imponerse en el poder, y lo ha conseguido porque hay muchos colombianos que le han sido OBEDIENTEMENTE. Olvídate del Socialismo,porque acabaremos con el URIBISMO 2022",,1,4,14,https://twitter.com/farid87368386/status/1379852175355052033
ad astra,ad astra,2021-04-07T17:48:25.000Z,"La versión que esta señora leyó para creer que los nazis eran socialistas, en mayúsculas",,1,1,11,https://twitter.com/skaven88/status/1379853582799884291
Pattyn,Pattyn,2021-04-07T17:54:09.000Z,Es que esta Mafe cada que argumenta los deja pero con la boca abierta y el cerebro tostado .. les toca Googlear haber si saben de que les hablas .. por eso nos quieren brutos pero ellos viviendo a lo capitalista. ,,4,4,11,https://twitter.com/patryfowler/status/1379855026542292992
Maomix,Maomix,2021-04-07T17:58:29.000Z,"Se había demorado con la ""perla"" de está semana.
Esto es un patrón característico del uribismo, no les da ni pena escribir cualquier ""brutalidad"" con tal de generar una cortina de humo y ser el foco de atención.",,,3,44,https://twitter.com/Maolinxtre2211/status/1379856116184666125
Aletoso,Aletoso,2021-04-07T17:22:42.000Z,"@ColombiaSimpson
 por favor el meme de los nazis comunistas",,1,,1,https://twitter.com/IngeJuanda/status/1379847113698385920
Colombia Simpson,Colombia Simpson,2021-04-07T18:09:59.000Z,"Quote Tweet
Colombia Simpson
@ColombiaSimpson
 · Jun 18, 2020
Nos filtraron esta escena de la serie sobre Uribe: acá lo vemos cómo aniquila a los comunistas paras con un 'rompecuellos veloz'. 
Pda: gracias a todos los que nos sugirieron hacer este meme. ",,1,,7,https://twitter.com/ColombiaSimpson/status/1379859009839243275
Juanfran Alonso .·.,Juanfran Alonso .·.,2021-04-07T17:25:02.000Z,"Los líderes sociales son minoría, y los matan en un estado de derecho. No socialista,  que supone uno...",,1,,,https://twitter.com/Juanfra_Alonso/status/1379847698132635650
martha cecilia Castellanos alvarez,martha cecilia Castellanos alvarez,2021-04-07T18:10:11.000Z,Se supone izmierda radical seguidor de genocidas de las farc que se matan entre ellos mismos.,,1,,1,https://twitter.com/58Marceca/status/1379859060808429568
Norberto,Norberto,2021-04-07T17:39:35.000Z,¿Comunismo y fascismo es lo mismo? Apague y vámonos.,,1,,,https://twitter.com/Nojaos/status/1379851359458111488
Javier Mejia Duque,Javier Mejia Duque,2021-04-07T18:02:02.000Z,A usted señora cabeza de chorlito no le da pena escribir tanta estupidez???,,,5,15,https://twitter.com/mejiaduquejavie/status/1379857008770289665
Colombia!!,Colombia!!,2021-04-07T18:02:29.000Z,"El fascismo es el totalitarismo, hoy lo vemos representado en la fiscalía, procuraduría, contraloría; nació para bloquear la lucha de los trabajadores; algo con lo que se puede representar el Uribismo..",,,1,12,https://twitter.com/jamoli018/status/1379857123643944961
victor ovalle diaz,victor ovalle diaz,2021-04-07T18:02:33.000Z,"el colmo de la brutalidad esta señora, eso pasa cuando los narcos compran votos a 200 lucas",,1,6,82,https://twitter.com/vovallediaz/status/1379857141914341380
Juanzapu,Juanzapu,2021-04-07T18:03:59.000Z,Politóloga de los andes y todavia cree en el comunismo...si hablamos de fascistas creo que su partido se queda con el premio...vieja horrible.,,,,5,https://twitter.com/Bogoweed26/status/1379857499470364675
Forex,Forex,2021-04-07T18:06:41.000Z,"Y la República Democrática del Congo es Democrática.
El Centro democrático es de ""Centro"" y ""democrático"".
El jugo Hit, es Jugo",,2,,5,https://twitter.com/oscarforex/status/1379858179211862018
Emir Winchester,Emir Winchester,2021-04-07T18:07:11.000Z,"‘Falsos positivos’ aumentaron 154% con Álvaro Uribe Vélez
Profesores de la Universidad de la Sabana y la Universidad del Externado detallan por qué este incremento entre el 2002 y el 2010. (02/07/2014)",,,71,113,https://twitter.com/Winchester_Musk/status/1379858306609655808
Adam Smith Liberty,Adam Smith Liberty,2021-04-07T18:09:05.000Z,"Senadora Cabal, por si las dudas, aporto esta precisiones del Profesor George Watson de la Universidad de Cambridge.",,5,73,77,https://twitter.com/AdamSmithFree/status/1379858784026157056
Al,Al,2021-04-07T19:09:13.000Z,Sencillamente Marx era otra basura humana,,6,9,16,https://twitter.com/AlCarlos212176/status/1379873918052405252
H.Mutis55/86,H.Mutis55/86,2021-04-07T18:09:50.000Z,La robaron en la universidad o usted es muy cerrada del chorote. Confunde la m...da con la pomada.,,6,22,250,https://twitter.com/pormillano/status/1379858972602142723
Jalil,Jalil,2021-04-07T19:13:25.000Z,"Estoy por creer que Lafaurie confunde una mula con la Cabal   por lo bruta qué es esta vieja , cuidado con la ZOOFILIA.",,1,14,111,https://twitter.com/Jalil10828906/status/1379874976199770122
GEORGE ISAAC SIMAN,GEORGE ISAAC SIMAN,2021-04-07T18:12:28.000Z,"Estimado 
@ExoSapiens
 mira la sabiduría que emana esta prócer del establecimiento colombiano...",,4,6,85,https://twitter.com/simangeo/status/1379859634832478212
JUANGO,JUANGO,2021-04-07T21:28:49.000Z,"Pena ajena da las bestialidades de esta señora, ojalá se quedara calladita",,,,2,https://twitter.com/gomeznjm1/status/1379909051140673544
(El man ese de las gafas),(El man ese de las gafas),2021-04-07T18:16:55.000Z,"Y los 6.402 asesinatos a manos de paramilitares en el gobierno de su ""mesías"" ? Eso en que doctrina venia estando ? ...",,,4,10,https://twitter.com/DonReacio/status/1379860754543824901
