nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
,,,,,,,,
Ramírez Quiroga E,Ramírez Quiroga E,2021-05-20T13:08:48.000Z,"¡Ridícula! Llevamos decenas de capitalismo, y vea los resultados. Salga por un momento de las tierras que ha robado y dese cuenta.",,,3,65,https://twitter.com/RamirezEver/status/1395365892373024772
Mary,Mary,2021-05-20T13:27:33.000Z,Petro le enruta es el camino para que vaya a recoger su dosis personal....,,4,,1,https://twitter.com/marareord/status/1395370614484082699
Villa,Villa,2021-05-20T13:09:26.000Z,23 días de .....,,,,5,https://twitter.com/Dugazu/status/1395366051609776133
M Rodríguez,M Rodríguez,2021-05-20T13:09:39.000Z,Toca que le diga a su querido exposo que no cobre esas vacunas.,,,,11,https://twitter.com/MediadeChicha/status/1395366108056768513
Pao sin tips.,Pao sin tips.,2021-05-20T13:10:07.000Z,El gremio de su esposo la está exportando toda. Mentirosa.,,7,92,238,https://twitter.com/escriboconlaizq/status/1395366225480503301
Alesanti42,Alesanti42,2021-05-20T13:10:14.000Z,Loca,,,,2,https://twitter.com/alexoquendo1983/status/1395366255901691907
David Rosero Bernal,David Rosero Bernal,2021-05-20T13:10:20.000Z,"Culpa de 
@IvanDuque",,,1,3,https://twitter.com/davidroserob/status/1395366279977046017
ROMMEL PEÑARANDA.,ROMMEL PEÑARANDA.,2021-05-20T13:10:34.000Z,"Nada comparado con 50 años, de saqueos, corrupción, despojos de tierras, desplazamientos, por parte de clase politica que ud ahora representa.",,,,9,https://twitter.com/ROMMELCONTRERA5/status/1395366338877612034
Mundo enfermo y triste.,Mundo enfermo y triste.,2021-05-20T13:10:43.000Z,"Nadie sabe lo que tiene hasta que lo ve perdido, dice un dicho muy conocido, lamentablemente en Latan no se aprende por experiencia de otros, muy triste lo que esta pasando.",,,,1,https://twitter.com/Cuntaquinteblac/status/1395366378366980103
luis antonio,luis antonio,2021-05-20T13:10:48.000Z,"Al final los vagos fueron más organizados, por que las pymes y el comercio no marchamos para que termine todo?",,1,,1,https://twitter.com/luisna36/status/1395366398495428609
Pao sin tips.,Pao sin tips.,2021-05-20T13:12:38.000Z,"Quote Tweet
Pao sin tips.
@escriboconlaizq
 · May 20
Replying to @MariaFdaCabal
El gremio de su esposo la está exportando toda. Mentirosa.",,,,2,https://twitter.com/escriboconlaizq/status/1395366860892344324
Andres Niño Pinilla,Andres Niño Pinilla,2021-05-20T13:10:55.000Z,"Llevamos 7.300 de ""capitalismo"" y en 23 dias de ""comunismo"" se destruye el pais? 

Lo mas impresionante de los uribistas es que ellos se juran en Suiza.",,1,3,31,https://twitter.com/Andres_NPinilla/status/1395366428866400258
Renson Said,Renson Said,2021-05-20T13:11:07.000Z,"Replying to 
@MariaFdaCabal",,1,1,11,https://twitter.com/rensonsaid/status/1395366476538949635
Natalia,Natalia,2021-05-20T13:11:21.000Z,,,,,1,https://twitter.com/nata_nuez/status/1395366537196883974
P e ñ a t e s,P e ñ a t e s,2021-05-20T13:11:35.000Z,"Doctora Cabal, ¿a cómo va pagar los votos en las próximas elecciones?
Para ir buscando gente, doctora.",,,,1,https://twitter.com/jhumope/status/1395366596055547909
Posocriticón,Posocriticón,2021-05-20T13:11:50.000Z,"Señora quien gobierna es Duque, es Duque, es Duque.",,,,1,https://twitter.com/poso_criticon/status/1395366658877894659
Bayardo San Román.,Bayardo San Román.,2021-05-20T13:12:08.000Z,No preocupe por ese 150% que su esposo lo recupera con la comisión del 5% que cobra por ser intermediario.,,,,4,https://twitter.com/Razumikhin24/status/1395366734182371333
𝕄𝕠𝕣𝕒𝕝𝕖𝕤,𝕄𝕠𝕣𝕒𝕝𝕖𝕤,2021-05-20T13:12:14.000Z,Carne al 150% su esposo feliz,,,,4,https://twitter.com/maomorales201/status/1395366757255286786
PipE Buffon ,PipE Buffon ,2021-05-20T13:12:17.000Z,Empezó la campaña política ,,,,1,https://twitter.com/PipeBuffon/status/1395366768915451908
javier erazo gustin,javier erazo gustin,2021-05-20T13:13:17.000Z,200 años de feudalismo,,1,12,57,https://twitter.com/ErazoGustin/status/1395367023274860547
Filósofo del pueblo,Filósofo del pueblo,2021-05-20T13:13:19.000Z,Entonces ya no gobierna Duque?? Jajajajajaja,,,1,1,https://twitter.com/fahozu/status/1395367029465665536
Julian Martínez,Julian Martínez,2021-05-20T13:13:21.000Z,"Llevamos 3 años de Uribe Madurismo, 3 años de corrupción, cooptacion de los poderes públicos, represión en las calles, masacres, persecución a oposición, criminalizacion de la protesta, y hasta USA condenando al narco regimen de Duque",,4,11,277,https://twitter.com/JulianM13126443/status/1395367040584716289
SOY QUITIAN,SOY QUITIAN,2021-05-20T13:16:43.000Z,"Soy profesional, trabajo, tengo empresa (quebrada por el Uribismo) pero la levanto solo sin ayuda, apoyo el paro, no soy comunista, me gusta la plata, también me gusta que los que uds empobrecen y asesinan tengan una mejor vida. #DuqueRenuncieYa",,9,46,420,https://twitter.com/QuitianMa/status/1395367888333254658
DIOS Todo lo puede,DIOS Todo lo puede,2021-05-20T13:13:37.000Z,"@MariaFdaCabal
 Ud es Brillante.Un resumen en pocas palabras de lo q es un trailer del comunismo vzlano en Colombia. Su país tendrá q decidir si quiere ver la película completa o si prefiere NO verla. Con políticos como ud y otros Colombia puede salvarse ya q SI quieren a su país",,,1,7,https://twitter.com/DIOSTodoLoP/status/1395367105520939010
Mauricio Alvarez,Mauricio Alvarez,2021-05-20T13:13:43.000Z,"Pero una gran parte de Colombia lleva como 60 años en el comunismo, el chocó, la guajira, y muchos sectores rurales, no tienen gas, no tienen para comprar alimentos, no hay vivienda digna, ni educación de calidad, poco acceso a la salud, etc etc.",,7,15,114,https://twitter.com/mauro1135/status/1395367130263171080
ad astra,ad astra,2021-05-20T13:13:49.000Z,"@Uniandes
 que mal le hicieron al país dejando graduar a una persona como esta. Increíble que tengamos que aguantar ""profesionales"" incendiarios con mentiras históricas. Pilas ahí",,1,,20,https://twitter.com/skaven88/status/1395367157802979331
Falsa analogía,Falsa analogía,2021-05-20T13:55:47.000Z,Eso produce plata. No personas.,,,,2,https://twitter.com/Danikarpov/status/1395377717365850112
Helmut Zemo,Helmut Zemo,2021-05-20T13:13:54.000Z,"Uffff, ustedes nos traen muy bien. Usted es la panacea, lo que realmente teme es quemarse en 2022... Boba hijueputa",,,,2,https://twitter.com/Koroliov416/status/1395367176064970760
Movimiento Naranja,Movimiento Naranja,2021-05-20T13:14:02.000Z,"""Comunismo es cuando pasan cosas que no me gustan""

- Mafe Cabal",,12,108,1.6K,https://twitter.com/MovNaranja3/status/1395367211695579138
frjálslyndur,frjálslyndur,2021-05-20T13:16:37.000Z,"No, es lo que esta pasando en Chile donde la izquierda se tomo la constituyente y ya quieren hacer reformas que siempre terminan en miseria, F",,27,2,26,https://twitter.com/Sebas152001l/status/1395367862601240576
HDavid Grijalba,HDavid Grijalba,2021-05-20T13:14:36.000Z,"El país se encuentra sumido en una semiguerra Civil por cuenta de la Izquierda.

-Colombia tiene una gente buena y de bien que trabaja y es productiva y una gente resentida y dañina, estos últimos son los comunistas que quieren vivir a costillas de los demás.

,Por eso son pobres",,65,4,29,https://twitter.com/hdmedgrijalba/status/1395367354369028101
Kirby Echo,Kirby Echo,2021-05-20T13:26:58.000Z,“Gente de bien” = paraco,,,,13,https://twitter.com/kirby_echo/status/1395370465418428416
Gambito de Parqués,Gambito de Parqués,2021-05-20T13:15:05.000Z,"La razón de que la carne este mas cara, con el paraco de Jose Felix vacunando a los ganaderos",,1,10,87,https://twitter.com/AdzamAli/status/1395367474875584515
M Rodríguez,M Rodríguez,2021-05-20T13:15:29.000Z,"Replying to 
@MariaFdaCabal",,,7,43,https://twitter.com/MediadeChicha/status/1395367575157096458
Fabtum,Fabtum,2021-05-20T13:16:01.000Z,"Replying to 
@MariaFdaCabal",,,,11,https://twitter.com/Fabianltp/status/1395367709962014721
Ed Ladino ,Ed Ladino ,2021-05-20T13:16:41.000Z,Señora horrible! Llevamos 20 años de fascismo gracias a su patrón.,,2,4,98,https://twitter.com/edladino_/status/1395367877973323779
