nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Sergio Fajardo,Sergio Fajardo,,,,,,,
Jorge Enrique,Jorge Enrique,2020-12-01T15:40:19.000Z,"Me imagino que fortalecerá Fecode, adoctrinadores de niños",,23,1,24,https://twitter.com/avique21/status/1333798087970549768
Szyslak,Szyslak,2020-12-01T15:53:33.000Z,"Este señor solo confirma la necesidad de fortalecer la educación en Colombia. Está saliendo mucho bruto de los colegios, de ahí que prefieren no estudiar e irse a prostituir al ejercito o policía.",,5,1,45,https://twitter.com/Szyslaky3967/status/1333801416691859460
Adrian Grijalba Coral,Adrian Grijalba Coral,2020-12-01T15:40:25.000Z,"Vaya y coma mondá, con todo respeto",,1,,10,https://twitter.com/superbiaest/status/1333798114638008321
wilder gòmez,wilder gòmez,2020-12-01T21:48:03.000Z,Eres la demostración de las grandes necesidades de educación en este lugar.,,1,,1,https://twitter.com/WILDERFISIATRA/status/1333890631672926209
Orlando Bernal,Orlando Bernal,2020-12-01T15:41:19.000Z,"La vez pasada le funcionó ese discurso, esta vez cámbielo porque ya no se le cree.",,2,,10,https://twitter.com/cartaabodah/status/1333798338483736580
Nicolás Iregui,Nicolás Iregui,2020-12-01T15:41:26.000Z,"Pero infórmese bien, porque cuando estaba en la última campaña no sabia porque marchaban los maestros.",,,,25,https://twitter.com/niciregui/status/1333798367047020551
Jorge Lara Restrepo,Jorge Lara Restrepo,2020-12-01T15:41:32.000Z,"Si llego a ser presidente, lo primero que hago es fortalecer la Justicia...",,1,2,24,https://twitter.com/JORGE_A_LARA/status/1333798394398064642
Oscar Mejía S.,Oscar Mejía S.,2020-12-01T15:41:38.000Z,"Lo primero que haría es irme a ver ballenas, Att Falsardo...",,,,23,https://twitter.com/oscaranmejia/status/1333798419412881408
La P-Cosa.,La P-Cosa.,2020-12-01T15:42:00.000Z,"Y quién garantiza que esa ""promesa"" se cumpla? ",,2,2,81,https://twitter.com/QueGarronazo/status/1333798509124829186
Camila Ramirez,Camila Ramirez,2020-12-01T16:01:35.000Z,Que noticia más vieja,,1,,1,https://twitter.com/camilaramirezf/status/1333803439948644353
EDUARDO,EDUARDO,2020-12-01T15:42:22.000Z,"Otra vez con el cuento de la educación, igualito que petro.",,,1,22,https://twitter.com/EduardoZR12/status/1333798604054560769
Sindicato Sutimac,Sindicato Sutimac,2020-12-01T15:43:01.000Z,"Ese discurso del ""presidente profesor"", con el que ganó adeptos, hoy por hoy no es más que una bandera verde populista y sin contenido, como bien lo sabe hacer la vertiente verde, ""centro"", que golpea con la derecha.",,1,2,9,https://twitter.com/sutimacnal/status/1333798767095549955
Luchoooo,Luchoooo,2020-12-01T15:43:07.000Z,"jajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajaja el de Don Berna, el de hidrohituango , el profesor que no apoya ni a los profesores ni a los estudiantes... que paquete de boñiga que es",,1,1,77,https://twitter.com/yoluchomucho/status/1333798792424947712
MOLINA,MOLINA,2020-12-01T15:44:02.000Z,"En Antioquia no te funcionó, cambie ya de libreto está muy trillado.",,2,7,30,https://twitter.com/kmylo_molina/status/1333799021798801409
Julián Enrique Gómez,Julián Enrique Gómez,2020-12-01T15:44:15.000Z,"Usted no va ser presidente, así que siga soñando.",,,1,49,https://twitter.com/JulianEnriqueGo/status/1333799078279352326
Perfil Falso.,Perfil Falso.,2020-12-01T15:45:35.000Z,"Entonces pides un pacto nacional pero de entrada ya excluyes a algunos sectores??? Eso no es un pacto nacional, es conveniencia burocrática... Payaso",,,1,65,https://twitter.com/JuanDav53508491/status/1333799412288483331
Levy Rincón,Levy Rincón,2020-12-01T15:48:10.000Z,¿Entonces por qué preferiste ir a ver ballenas y no apoyar al candidato que le apostaba a la educación en este país? Usted es vende humo lleno de frases clichés y de lugares comunes.,,83,333,3.8K,https://twitter.com/LevyRincon/status/1333800064209174535
elGrillo,elGrillo,2020-12-01T15:50:45.000Z,"Petro dice que hija estudiará fuera del país, lo llaman cínico y él alude a hijos de Uribe - Pulzo
El senador de la Colombia Humana contó orgulloso en Twitter la etapa a la que se enfrentará como padre al separarse de la joven “después de 18 años juntos”. - Pulzo
pulzo.com",,23,1,29,https://twitter.com/elgrillobarillo/status/1333800712912863235
Jairito alimaña,Jairito alimaña,2020-12-01T15:48:33.000Z,"Jajajajajajajajajajajajaja ya en 2018 demostró que le importa un rábano la educación y esa ficha ya la quemo te toca reinventarte una estrategia muñeco, la q más le podría funcionar es la de catador de semen de ballena ",,1,4,22,https://twitter.com/JairoThus_spoke/status/1333800158128062465
SM (RA) Jairo Gonzalez,SM (RA) Jairo Gonzalez,2020-12-01T15:48:54.000Z,No creo mucho en una promesa de alguien que dijo que no volvería ser candidato presidencial.,,4,20,88,https://twitter.com/verdolaga2323/status/1333800248741806086
Ragnar Lothbrok ¥¥,Ragnar Lothbrok ¥¥,2020-12-01T15:50:08.000Z,"Muaaajuajuaaa.
Elemental mi querido Watson.
Ud, lo único que presidirá es una lluvia de ideas, para que cuadren sus putos dichos enredados.",,,,97,https://twitter.com/Hectorescritos/status/1333800557417353222
Szyslak,Szyslak,2020-12-01T15:51:59.000Z,"Que va, vos nunca has movido un dedo por el movimiento estudiantil. Cuando nos han agredido preferiste callar, nunca has caminado con nosotros cuando exigimos más presupuesto. Los estudiantes y profesores no te creemos.",,,6,41,https://twitter.com/Szyslaky3967/status/1333801023232565249
Andrés Camacho M.,Andrés Camacho M.,2020-12-01T15:52:24.000Z,"No he visto ninguna manifestación de parte suya frente a la difícil situación de maestros y maestras, o frente a la dura situación de estudiantes y la necesidad de una matrícula cero, no imagino el tipo de pacto que propone",,2,,17,https://twitter.com/andrescamachom_/status/1333801127729532933
Defensor de la Democracia.,Defensor de la Democracia.,2020-12-01T15:52:54.000Z,"Ese libreto ya no le funciona, busque otro por Google, opera, chrome.",,,7,40,https://twitter.com/Charly687091790/status/1333801255873912833
Juana,Juana,2020-12-01T15:53:16.000Z,"Oiga dizque profe, afuera matan a los verdaderos por las falacias acerca del adoctrinamiento en las aulas. 

Ni una palabra verdad? Bueno, suerte con el teatro ",,1,19,301,https://twitter.com/nubesuavecita/status/1333801346554765313
OJHC,OJHC,2020-12-01T15:57:03.000Z,"Esas palabras ya las he escuchado , pactos y pactos que solo quedan en carreta y más carreta. Sea puntual, cifras, decisiones, presupuestos",,1,2,11,https://twitter.com/huertas_oscar/status/1333802300331081730
Deisy Aparicio,Deisy Aparicio,2020-12-01T15:58:17.000Z,"Su ausencia reiterada en los debates nacionales entorno a la educación, la falta de posición frente a los constantes ataques que vive el magisterio evidencia que su ""gran pacto"" es solo una artimaña para cautivar incautos .",,,,45,https://twitter.com/DeiAparicio/status/1333802608897658887
Di,Di,2020-12-01T16:00:44.000Z,DIOS NO LO PERMITA.,,,,11,https://twitter.com/LaCaballero/status/1333803226127245316
Cris García,Cris García,2020-12-01T16:04:12.000Z,"Sergio, tenía entendido que no se iba a presentar en las próximas elecciones presidenciales. ¿Qué pasó?",,,2,12,https://twitter.com/CrisGarciaT/status/1333804099398111234
julio Mario Ospina,julio Mario Ospina,2020-12-01T16:04:36.000Z,"El que se va a ""ver ballenas"" en el momento mas importante en que se jugaba la suerte del país! ya no le creemos los que en algún momento pensamos en votar por usted, menos mal usted mismo se delató, usted no es mas que BASURA!...",,1,10,135,https://twitter.com/juliomario55555/status/1333804198589173762
Ciudadan@sColombia@s,Ciudadan@sColombia@s,2020-12-01T16:59:26.000Z,"Primero es de ""centro"" y luego va a ""gestar educación"", en otras palabras quiere convertirse en 
@petrogustavo
 .",,3,1,41,https://twitter.com/CentroDeVerdad/status/1333817997027315713
EL GATO CON BOTAS,EL GATO CON BOTAS,2020-12-01T16:06:09.000Z,"Antioquia nunca fue la ""más educada"" ",,3,3,16,https://twitter.com/garces2009/status/1333804588361662469
Antigodarria #RNWO,Antigodarria #RNWO,2020-12-02T02:24:05.000Z,Por eso es Uribista,,,,3,https://twitter.com/WarTuitero/status/1333960097417072641
PatriaTeAdoro,PatriaTeAdoro,2020-12-01T16:10:29.000Z,"A este tipo le parecen poco $47 BILLONES en un solo año para el rubro educación, y uno se pregunta: en qué se va esa plata si Colombia está en la cola de la calidad educativa mundial??",,15,19,70,https://twitter.com/PaterMionostro/status/1333805677643436034
