nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Gustavo Castañeda,Gustavo Castañeda,2021-03-23T18:57:38.000Z,Definitivamente tiene podrido el corazón y el alma.,,,1,9,https://twitter.com/GustavoPV54/status/1374435183751929863
Hypatia Hurtado,Hypatia Hurtado,2021-03-23T18:56:44.000Z,Maravilloso. La mejor energía desde Chocó Humana ,,8,8,98,https://twitter.com/HypatiaHurtado/status/1374434957603397634
cristal,cristal,2021-03-23T19:06:01.000Z,"Por eso es que ese departamento no Progresa, sean serios busquen un candidato bueno.",,15,1,44,https://twitter.com/cristal_tri/status/1374437293629403137
giovanniagudelomancera Sígueme y te sigo,giovanniagudelomancera Sígueme y te sigo,2021-03-23T18:57:05.000Z,"Gustavo Petro 
@petrogustavo
 mejórate para derrotarte en las urnas, pero deja de escupir para arriba porque siempre te cae en la cara.",,12,1,27,https://twitter.com/giovanniagudelo/status/1374435047650906117
Bradford,Bradford,2021-03-23T18:58:15.000Z,Por favor compartános la receta médica para acabar con el covid en 24 horas.,,21,11,124,https://twitter.com/bradford_col/status/1374435338253332481
Luthier-pat (como el Postre-Sec),Luthier-pat (como el Postre-Sec),2021-03-23T19:07:18.000Z,"Habrá que preguntarle al expresi, quien en menos tiempo resultó sin complicaciones.",,1,1,9,https://twitter.com/ElMariecito/status/1374437615932379142
Laura Cote,Laura Cote,2021-03-23T18:58:17.000Z,"Me alegro y espero que esta experiencia le haya servido para no andar llamando a la gente a exponerse en las calles, sea responsable hombre, hay cosas que están por encima de una campaña política.",,7,8,96,https://twitter.com/LauraCoteR/status/1374435347497545732
Alfonsina Del Mar,Alfonsina Del Mar,2021-03-23T19:15:35.000Z,,,3,,6,https://twitter.com/Eridyas/status/1374439701206081536
Javier Cardona.,Javier Cardona.,2021-03-23T18:58:19.000Z,¡El que miente roba!! Decía mi abuelita... ,,10,5,46,https://twitter.com/JAVIERcardona07/status/1374435358071353344
*jofrala*,*jofrala*,2021-04-30T01:44:17.000Z,"Será que 
@AlvaroUribeVel
 ya se enteró de lo que decía su abuela?",,,,1,https://twitter.com/jofrala/status/1387945871870922755
AboJuan (Cta.Oficial),AboJuan (Cta.Oficial),2021-03-23T18:58:30.000Z,"Esta fuera de peligro, nuestro próximo presidente",,2,2,19,https://twitter.com/abojuan/status/1374435401218199563
Vladimir (Vladdo),Vladimir (Vladdo),2021-03-23T18:58:44.000Z,"Gracias a Dios mi estimado Petro, te digo que mi hija y yo te pensamos demasiado y oramos mucho por ti. #FuerzaPetro y seguimos más fuentes que nunca #PactoHistorico",,,3,14,https://twitter.com/VDcartagena/status/1374435460542390280
Jaguar,Jaguar,2021-03-23T18:58:57.000Z,Larga vida y mucha salud para que lidere los cambios profundos que requiere Colombia. Abrazo solidario,,1,3,28,https://twitter.com/CantorWerner/status/1374435516263800839
Ivon Gomez,Ivon Gomez,2021-03-23T18:59:01.000Z,"No habrá Covid, ni Uribes que frustre su mandato como presidente de Colombia.",,4,44,201,https://twitter.com/IvonneMilenaGo/status/1374435534957809668
The Giggles,The Giggles,2021-03-23T19:04:56.000Z,"Muy bien Campeón, vamos adelante, con toda.",,,8,35,https://twitter.com/ACoava/status/1374437022039896074
Uribista Perez !!!,Uribista Perez !!!,2021-03-23T18:59:46.000Z,"Replying to 
@petrogustavo",,1,,35,https://twitter.com/UribistaPerez/status/1374435721440731136
Juan Carlos Aguirre,Juan Carlos Aguirre,2021-03-23T19:01:22.000Z,Y en Bogotá o en Italia? Sólo por curiosidad... #SóloPregunto,,4,,8,https://twitter.com/JCAguirreR/status/1374436123687018499
JUAN CAMILO MORALES,JUAN CAMILO MORALES,2021-03-23T19:02:53.000Z,"en cualquiera de las dos esta bien.    tiene ciudadanía colombiana e italiana. 

cual es su punto ?",,9,1,9,https://twitter.com/JUANKAMORA23/status/1374436507352588293
Somos GU,Somos GU,2021-03-23T19:02:14.000Z,"Replying to 
@petrogustavo",,,1,62,https://twitter.com/HailGU2/status/1374436341908312064
Mara,Mara,2021-03-23T19:02:34.000Z,"Ya ahorita le vamos a creer hampón, con quien se reunió en la Italia, que está fraguando para el país. Terrorista ASESINO.",,23,6,54,https://twitter.com/MaraECrdenas1/status/1374436426666799109
Javierucho,Javierucho,2021-03-23T23:30:46.000Z,"Ay si boba hp, imagino que la misma persecución y objetividad la hará con el séquito del Uribismo y la ultraderecha, si tuviera algo de memoria y conocimiento de este país 60 años atrás, podría darse cuenta del origen del problema, típico cerebros de esponja de un uribestia",,3,1,9,https://twitter.com/nocomocuento111/status/1374503922891591683
Monchos,Monchos,2021-03-23T19:02:38.000Z,"¡Que bueno, me alegro...!!!!",,,2,3,https://twitter.com/modios281/status/1374436443754393602
Patriota,Patriota,2021-03-23T19:02:43.000Z,Dónde está el permiso del congreso autorizando su salida del país?,,28,5,84,https://twitter.com/Patriota1979/status/1374436462385532929
Patriota,Patriota,2021-03-23T19:07:24.000Z,"Señores 
@PGN_COL
  exijo que se investigue la conducta de este senador, es un empleado público y tiene que rendir cuentas cómo cualquier otro.",,4,1,14,https://twitter.com/Patriota1979/status/1374437643887382531
Cielo Rusinque Urrego,Cielo Rusinque Urrego,2021-03-23T19:03:05.000Z,"Replying to 
@petrogustavo",,4,11,123,https://twitter.com/cielo_rusinque/status/1374436556027523078
Quillero,Quillero,2021-03-23T19:06:15.000Z,"Oye Cielo, tu eres un fichaje de lujo para la colombia humana sabes, me siento muy feliz de ver personas asi de preparadas luchando por un mejor país. Este 2022 vamos con toda la mejor energía . Desde la distancia mi apoyo total",,4,5,56,https://twitter.com/RCDataScientist/status/1374437351791886340
LuzElena,LuzElena,2021-03-23T19:03:10.000Z,"Y donde está su permiso, para salir del país??",,4,6,30,https://twitter.com/luchirincon3/status/1374436576378249217
Jose Lopez,Jose Lopez,2021-03-23T19:58:37.000Z,Cómo cuál permiso necesitaría ?,,1,,2,https://twitter.com/joche22/status/1374450530810875906
Andrea Gossaín.,Andrea Gossaín.,2021-03-23T19:04:10.000Z,"Usted es un mentiroso! Su hijo, su ... no se qué Gustavo Bolivar! Mienten en lo pequeño, en lo importante! Imagínense las mentiras para llegar y tomarse el poder!",,2,4,28,https://twitter.com/andreagossain/status/1374436829974327306
EL INSOLENTE,EL INSOLENTE,2021-03-23T19:04:23.000Z,Petro el mitómano ,,1,,24,https://twitter.com/ELINSOLENTE6/status/1374436882994524163
Alberto,Alberto,2021-03-23T19:04:58.000Z,"Neumonía????
Sale a los 2 días
Cáncer????
Sale a los 7 días
Deberían llevarlo a la NASA a examinarlo, el único cuerpo humano q se recupera en días de enfermedades mortales",,18,9,107,https://twitter.com/Albertopuravida/status/1374437029451165699
Julián González,Julián González,2021-03-23T19:17:03.000Z,Mí padre tuvo covid y fue hospitalizado por 3 días por una neumonía leve.. no entiendo q le sorprende ?,,2,1,10,https://twitter.com/jgonzalezcard/status/1374440071403773952
alfonso,alfonso,2021-03-23T19:05:04.000Z,Jajajajajajaja lo increible es ver como puede haber alguien que lo siga y le crea,,1,1,18,https://twitter.com/fonsiparra/status/1374437056110239755
Alejandro Chaves,Alejandro Chaves,2021-03-23T19:08:31.000Z,"Pero si hay gente que le cree a Uribe.

En fin.... eso le parece malo?",,3,1,3,https://twitter.com/STCAlejo/status/1374437924616372226
®Sargento sinovac(6402) ∆,®Sargento sinovac(6402) ∆,2021-03-23T19:05:44.000Z,"Replying to 
@petrogustavo",,,,5,https://twitter.com/OctavioTabogo/status/1374437221319593986
𝔻𝕚𝕖𝕘𝕠,𝔻𝕚𝕖𝕘𝕠,2021-03-23T19:06:31.000Z,"Fuerza Petro, Colombia lo necesita.",,,3,21,https://twitter.com/OtroDiegoSoy/status/1374437419898994699
Czars Molins,Czars Molins,2021-03-23T19:07:04.000Z,"Donde esta la prueba del hospital? Bandido hp, mitomano de ",,,3,23,https://twitter.com/CzarsMolins/status/1374437557702823940
NEPTUNO CABAL 2022,NEPTUNO CABAL 2022,2021-03-23T19:07:26.000Z,Las flores son por mi cuenta,,,1,5,https://twitter.com/NEPTUNO92073415/status/1374437649339977730
Prince.,Prince.,2021-03-23T19:07:27.000Z,"Felicidades Gustavo.
Le recomiendo:
Mostrar pruebas físicas 
De test de Covid positivo practicado en Europa.
Tratamiento realizado 
Y por realizar.
Yo creo en usted comandante progresista.
Haslo para que no de papaya a los contradictores bodegueros calumniadores de 
La ultrader.",,2,3,17,https://twitter.com/prince_bueno/status/1374437654637408267
