nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Dani LOT,Dani LOT,2021-05-28T17:47:31.000Z,Mi culo lo patrocina care chimba,,3,2,204,https://twitter.com/Daniela_05191/status/1398335140515004416
Don Esquites,Don Esquites,2021-05-28T21:20:46.000Z," Te amo 

Fuerza Colombia",,,,1,https://twitter.com/DkDnT_LfC/status/1398388802876489734
Ed Ladino ,Ed Ladino ,2021-05-28T17:50:30.000Z,Ay no! Despéguela.,,9,83,2.3K,https://twitter.com/edladino_/status/1398335889965780996
Da/niel Zárate.,Da/niel Zárate.,2021-05-28T17:52:28.000Z,"JAJAJAJAJAJJAJAJAJAJAJAJA NOOOOOOOOO       

#ParoNacional28M",,2,,15,https://twitter.com/ODaniel_Zarate/status/1398336382788067332
Da/niel Zárate.,Da/niel Zárate.,2021-05-28T17:54:35.000Z,Obviamente el Foro de São Paulo patrocina a Luisito Comunista,,1,2,46,https://twitter.com/ODaniel_Zarate/status/1398336918316847108
El Barto Chibchombiano,El Barto Chibchombiano,2021-05-28T17:57:07.000Z,"Es él Mafe, es él!!!!!",,25,208,2.5K,https://twitter.com/FilosofoBart/status/1398337555112861699
César Augusto,César Augusto,2021-05-28T19:14:17.000Z,Jajajajajajjajajajajaja best meme ever,,,,275,https://twitter.com/CesarBaule/status/1398356973117128708
sara,sara,2021-05-28T17:59:33.000Z,Esta lo patrocina,,9,5,319,https://twitter.com/Saraaaa_gom/status/1398338167057653762
Daya| Inactiva,Daya| Inactiva,2021-05-28T18:53:30.000Z,JAJAJAJJAJAJAJAJ te la rifaste,,1,,7,https://twitter.com/heyangelday/status/1398351743394668554
TOMBO de luto por Teo,TOMBO de luto por Teo,2021-05-28T18:00:03.000Z,JAJAJAJAJAJAJAJAJAJAJAJAJAJAJA Luisito se gana el triple que usted señora boba hpta,,1,,15,https://twitter.com/PAPITOMBO_/status/1398338291020308491
geraldine,geraldine,2021-05-28T18:01:22.000Z,Los 6ta y pico del congreso viendo quien es el bandido de Luisito,,,1,96,https://twitter.com/ay_grltt/status/1398338624433893377
three Jar,three Jar,2021-05-28T18:02:13.000Z,"El solo, el es un empresario que  por lo menos su dinero no proviene de despojar campesinos de sus tierras...
y deje ser tan ridicula",,,1,7,https://twitter.com/threejar/status/1398338839077326854
𝑪𝒂𝒎𝒊𝒍𝒂⁷,𝑪𝒂𝒎𝒊𝒍𝒂⁷,2021-05-28T18:03:44.000Z,Sumercé es muy bestia la verdad,,,1,18,https://twitter.com/camilAbyss_/status/1398339220595486723
Envidiosa gata verde,Envidiosa gata verde,2021-05-28T17:52:51.000Z,"Replying to 
@MariaFdaCabal",,,,5,https://twitter.com/tuaguitaecoco/status/1398336482784468996
Katsu,Katsu,2021-05-28T18:00:21.000Z,@MiguelPoloP,,,,1,https://twitter.com/Muri_nekochan/status/1398338367822127109
Yonathan Perez,Yonathan Perez,2021-05-28T18:03:12.000Z,Quien patrocina al estado colombiano?,,,,6,https://twitter.com/Yonatha55567465/status/1398339087036301314
Carlos Andrés,Carlos Andrés,2021-05-28T18:04:39.000Z,"Yo se que luisito se gana su plata honestamente, de ud no podría decir lo mismo",,,,41,https://twitter.com/CarlosA39801090/status/1398339450300739585
Sofisaurio,Sofisaurio,2021-05-28T18:05:40.000Z,El foro de sao pablo y las far ,,,,7,https://twitter.com/Dinopensadora/status/1398339705008181250
AbogadoFit,AbogadoFit,2021-05-28T18:06:24.000Z,"El ladrón juzga por su condición . Cómo a usted la patrocinan los expropiadores de tierras , piensa que todos somos iguales a su calaña .",,,,7,https://twitter.com/abogadofit/status/1398339890878767106
Mona Lynch,Mona Lynch,2021-05-28T18:06:37.000Z,Un tal paramilitar alias abduzcan,,1,,2,https://twitter.com/blondamyte/status/1398339945065074688
Mona Estrada,Mona Estrada,2021-05-28T21:03:35.000Z,JAJAJAJAJAJAKDKDJSFLG NO ME ACORDABA DE ESO,,,,1,https://twitter.com/Jacksonalover/status/1398384481611010051
Sofisaurio,Sofisaurio,2021-05-28T18:06:46.000Z,"No sea bruta. Tiene plata, contrate un asesor de comunicaciones porque está haciendo el oso.",,1,,167,https://twitter.com/Dinopensadora/status/1398339982876712966
Angie Mosquera,Angie Mosquera,2021-05-28T18:07:01.000Z,"Patrocinado por el Foro de São Paulo, memories xd JAJAJAJAJAJAJAJAJA",,,,10,https://twitter.com/angie_mosqueraa/status/1398340044943986689
@_almadinamita,@_almadinamita,2021-05-28T18:07:14.000Z,Gorda si supieras toda la plata que tiene ese man: 1. Te daría pena preguntar bobadas 2. Le pedirías que te patrocine él a ti por si el negocio de las azucareras se te cae ,,,,21,https://twitter.com/_almadinamita/status/1398340099771977733
Bohemio de afición,Bohemio de afición,2021-05-28T18:07:28.000Z,Según usted el foro de sao paulo jajajaja. salu2.,,32,81,1.2K,https://twitter.com/PocoInfluyente/status/1398340161189167105
Jerginia Prieto Beretta,Jerginia Prieto Beretta,2021-05-28T20:45:51.000Z,JJAJAJAJAJSJSJSJJSJS,,2,,4,https://twitter.com/enterocoliticas/status/1398380016191299586
david santiago,david santiago,2021-05-28T18:07:43.000Z,"Replying to 
@MariaFdaCabal",,,1,15,https://twitter.com/david_santiago9/status/1398340222400749569
Bry Rojasfa,Bry Rojasfa,2021-05-28T18:08:22.000Z,El foro de sao Pablo y obvio....Petro,,,,2,https://twitter.com/rockjasbryan/status/1398340384267382784
Daniela Vásquez,Daniela Vásquez,2021-05-28T18:09:07.000Z,"Luisito tiene n cantidad de empresas, es invitado a n cantidad de programas y pregunta quién lo patrocina?
La pregunta es quién patrocina a polo polo, que bien arrancado empezó, nunca ha trabajado y por ahí anda solo señalando",,,,7,https://twitter.com/iriedani/status/1398340573665312772
-Shakén,-Shakén,2021-05-28T18:10:05.000Z,"Replying to 
@MariaFdaCabal",,1,,11,https://twitter.com/Shaken_Mazaya/status/1398340817320828931
anamariki,anamariki,2021-05-28T20:38:45.000Z,JAJAJAJAJA Te amo Shakén,,,,1,https://twitter.com/anamariki/status/1398378230843838467
Kookiela 구키엘라,Kookiela 구키엘라,2021-05-28T18:11:22.000Z," Uno pensaría que es fake, que está gente se toma el tiempo de investigar y ser responsables en sus redes sociales. Pero luego recuerdas que es María Fernanda Cabal y todo tiene sentido. Que vergüenza esta clase política  ",,1,,64,https://twitter.com/MyNochuSquad/status/1398341140324159491
David Hoyos,David Hoyos,2021-05-28T22:00:46.000Z,"Y el animal de 
@MiguelPoloP",,,,2,https://twitter.com/davidhdz0711/status/1398398871756328970
Îndignadœ,Îndignadœ,2021-05-28T18:11:27.000Z,"Y a UD quien la patrocina? Le recuerdo que dos peones suyos en el momento están en la cárcel por comprale su curul en el senado, y a pesar de eso UD sigue en el puesto, yo por decencia hubiera renunciado pero su dignidad y poca inteligencia no le da para tanto.",,,,22,https://twitter.com/JohnFredyMarnc2/status/1398341160234594306
Manuel | STREAM MONTERO THE ALBUM,Manuel | STREAM MONTERO THE ALBUM,2021-05-28T18:12:07.000Z,"Mor la que lo patrocina se llama 
@MariaFdaCabal
 y es reconocida por ser la mas boba hpta de Colombia abajo de duque porque a ese no le gana nadie y es famosa tambien por su incapacidad de pensar bien,Aca una prueba de su ""inteligencia"".",,,,38,https://twitter.com/iSapoHijueputa/status/1398341327398576135
José Gabriel Pineda Molano,José Gabriel Pineda Molano,2021-05-28T18:12:27.000Z,"Tiene toda la razón doctora, es imposible que un pelado de apenas 30 años con su propio restaurante, marca de ropa, marca de tequila, empresa se telefonía, su propio libro y 36M de suscriptores en Youtube. Se financie un viaje a un país con la moneda devaluada.",,50,491,5.1K,https://twitter.com/OtroArrobaNoMas/status/1398341414606495744
Nay-T,Nay-T,2021-05-28T18:38:26.000Z,"Ella no entiende cómo puede hacer plata sin estar enterado con el narcotráfico.

No le cabe en la cabeza",,10,84,2.1K,https://twitter.com/Orozco_Freddy/status/1398347951131578372
Neider Camargo,Neider Camargo,2021-05-28T18:15:13.000Z,"Quien lo patrocina? Los 36 millones de seguidores que tiene en YouTube y el billete que le va a dar YouTube por el video que va a publicar sobre Colombia, vieja idiota",,,,2,https://twitter.com/NeiderCamargo5/status/1398342110433234947
