nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
ojos de perro Azul 2,ojos de perro Azul 2,2020-08-24T01:09:34.000Z,Sabes que vas en pérdidas y lejossssssss.,,6,4,104,https://twitter.com/Alexand05970897/status/1297702556681076736
ojos de perro Azul 2,ojos de perro Azul 2,2020-08-24T01:11:16.000Z,"La Presidencia no será Tuya, eso te lo prometemos de todo Corazón.

Vé, al fin que con lo de Ituango? Ojalá salga en plena Campaña.",,2,4,62,https://twitter.com/Alexand05970897/status/1297702985808482305
Eduard Bernstein,Eduard Bernstein,2020-08-24T01:09:43.000Z,"De acuerdo, no más polarización.",,46,,129,https://twitter.com/EduardBernstei1/status/1297702595096715265
Andres Velez,Andres Velez,2020-08-24T01:10:07.000Z,Jajajaja bobo hp,,1,,50,https://twitter.com/andrescamilovel/status/1297702695911018497
Factótum,Factótum,2020-08-24T01:12:44.000Z,"Para ser sincero, es la primera vez que lo menciona. Petro es el que aún sigue ofendido porque no votó por él. Las cosas como son.",,6,1,60,https://twitter.com/AseAcademica/status/1297703354165006337
Jose David Cárdenas,Jose David Cárdenas,2020-08-24T01:10:10.000Z,"Increíble el ego de los dos es muy grandes, y si no hay puntos de convergencia entonces volvemos a caer en manos de un gobierno de derecha",,28,2,21,https://twitter.com/Jodacani/status/1297702710389637121
Las Notas de Lucho,Las Notas de Lucho,2020-08-24T01:11:03.000Z,"Este tipo 
@sergio_fajardo
 es peligrosisimo!!!",,,,29,https://twitter.com/fernandodazapb1/status/1297702928698966022
Juan Granados E.,Juan Granados E.,2020-08-24T01:11:06.000Z,"En mi cabeza se lee: ""Sigue prevaleciendo mi vanidad y mis intereses solapados. Así yo sea mejor opción y pueda ganarle, prefiero no mezclarme con la chuzma y no quiero verme al lado de él porque se pone bravo el patrón.""",,4,4,91,https://twitter.com/juangr_/status/1297702944578641925
Heterdoxo,Heterdoxo,2020-08-24T01:11:20.000Z,"Hace tiempo que ustedes no son una opción de centro, ya con lo que se ha visto de 
@ClaudiaLopez
 y de usted fue suficiente",,,3,64,https://twitter.com/Heterodox0/status/1297703003999408135
Hector Yair R.H. (He.To.),Hector Yair R.H. (He.To.),2020-08-24T01:11:47.000Z,"Me parece bastante coherente, porque usted representa el centro y la independencia; ese otro señor representa lo más nefasto de la izquierda. Debemos apostar por alternativas que sí representen los ideales de los que están cansados de lo mismo.
#FajardoResponde.",,4,3,18,https://twitter.com/HectorYairR0790/status/1297703115500785666
Walter Narváez,Walter Narváez,2020-08-24T01:11:57.000Z,Por que sabes muy bien que pierdes.,,,3,44,https://twitter.com/Narvaez1509/status/1297703157271756800
La Cata con Botas,La Cata con Botas,2020-08-24T01:12:55.000Z,Mejor quítese y no haga estorbo. #SePuede,,2,3,156,https://twitter.com/catamaterile/status/1297703401506168833
Mamoncillo,Mamoncillo,2020-08-24T01:14:36.000Z,Es una mula muerta en el camino.,,1,3,34,https://twitter.com/shirley2096/status/1297703823788711936
Analista,Analista,2020-08-24T01:13:15.000Z,Eso se sabe el Candidato del URIBISMO no se someterá a consulta con quiénes representen un CAMBIO para el país,,8,14,156,https://twitter.com/Analist56181232/status/1297703485924954114
JuanDa MoCa,JuanDa MoCa,2020-08-24T01:13:43.000Z,"Fajardo no hace consultas porque pierde. 
Y justo cuando el Polo y hasta de la Calle no cierran la posibilidad a una alianza con Petro, Fajardo sale como siempre a poner obstáculos a un frente para superar el uribismo. Fajardo opera para el establecimiento. Es derecha",,,17,42,https://twitter.com/juandcartagena/status/1297703603688415232
Andrea Roa,Andrea Roa,2020-08-24T01:14:50.000Z,"Replying to 
@sergio_fajardo",,2,9,282,https://twitter.com/andrearoae/status/1297703881120587777
Mabeltran,Mabeltran,2020-08-24T01:17:22.000Z,"Entienda si no es con
FRA  U  DE ,nunca será presidente mas despacio?
Ojalá le cumplan con esa chamba.
Querido y lo de hidruituango para cuando?",,1,8,56,https://twitter.com/Mabeltran19/status/1297704519384666112
