nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Ing Rodolfo Hernandez !,Ing Rodolfo Hernandez !,,,,,,,
Andrés,Andrés,2021-08-23T16:45:01.000Z,"Replying to 
@ingrodolfohdez",,,1,4,https://twitter.com/lobo_estepari07/status/1429847155674656771
Juanse,Juanse,2021-08-23T16:46:10.000Z,"Señor Rodolfo, si la noticia viene de semana jummm poco creeible. ",,,,,https://twitter.com/Juan_Se_93/status/1429847441910685697
Marlon HURTADO ROJAS,Marlon HURTADO ROJAS,2021-08-23T16:46:21.000Z,Siga soñando ingeniero,,1,,7,https://twitter.com/marlonhurtado86/status/1429847488870092806
Liam Payker,Liam Payker,2021-08-23T16:51:59.000Z,"Siga usted menospreciando a un candidato. La vida da sorpresas.

Más bien, póngase a trabajar en promover al candidato que para usted sí es viable.

Esto es una competencia y no se gana creyendo que el contrincante es pequeño. ",,1,,3,https://twitter.com/liampayker/status/1429848907140456454
Tibiri,Tibiri,2021-08-23T16:46:46.000Z,"Jajajajajja usted está orate, como saber que si queda presidente no va a mandarle a dar tiros a la puerta de la casa a sus detractores?",,,,,https://twitter.com/Marulotibiri/status/1429847594696577025
,,2021-08-23T16:45:01.000Z,,,,1,4,https://twitter.com/lobo_estepari07/status/1429847155674656771
Fredysantamaria,Fredysantamaria,2021-08-23T16:46:46.000Z,No lo creo,,1,,,https://twitter.com/Fredysantamar12/status/1429847595019640840
Liam Payker,Liam Payker,2021-08-23T16:52:21.000Z,"Siga usted menospreciando a un candidato. La vida da sorpresas.

Más bien, póngase a trabajar en promover al candidato que para usted sí es viable.

Esto es una competencia y no se gana creyendo que el contrincante es pequeño. ",,1,,1,https://twitter.com/liampayker/status/1429848998874165251
SOSColombia con el 2022,SOSColombia con el 2022,2021-08-23T16:46:50.000Z,Para ver el vídeo y ver si es verdad que dijo que adora a Hitler ,,,,28,https://twitter.com/walhcar/status/1429847613399044096
Darcon ,Darcon ,2021-08-23T16:48:48.000Z,Pero en concurso de insultos o qué,,,,1,https://twitter.com/darcon92/status/1429848104312971265
yoly parra,yoly parra,2021-08-23T16:51:13.000Z,"Sr Hernández Ud ha expresado ser independiente pero su aliado es Petro, ya lo expresado, NO engañen ni se burlen más del pais, la sociedad está cansada de tanto charlatán, NO SE EQUIVOQUEN!!",,7,,4,https://twitter.com/yoly04p/status/1429848715955736577
CarlosMemon,CarlosMemon,2021-08-23T17:28:05.000Z,chao uribismo,,,,14,https://twitter.com/CarlosMemon/status/1429857994011983874
Juan José Osma Pinto,Juan José Osma Pinto,2021-08-23T16:51:28.000Z,"Tiene razón, esta siendo muy buscado en Google ",,6,15,78,https://twitter.com/IngJuanOsma/status/1429848777456853000
Liam Payker,Liam Payker,2021-08-23T17:25:09.000Z,"Sí. Exactamente, el candidato más buscado en Google. 

No dijeron que más buscado por cosas buenas, o por cosas regulares o por cosas malas.

Y ojo, porque la publicidad mala, también tiene cosas buenas (Aunque a uno en lo personal no me guste). Por ejemplo: el darse a conocer.",,2,,10,https://twitter.com/liampayker/status/1429857253004357638
Bryan Bonilla,Bryan Bonilla,2021-08-23T16:51:43.000Z,Claro lo supera por q la gente quiere ver lo bandido q es usted admirando a Hitler y ofreciendo bala como todo un bandido,,,,,https://twitter.com/cbonillataph/status/1429848838534275075
